dataset,code,frequency,rank
english_prose,78,132025,1
english_prose,38,67570,2
english_prose,39,46402,3
english_prose,40,33834,4
english_prose,37,33444,5
english_prose,79,26912,6
english_prose,41,20225,7
english_prose,168,19465,8
english_prose,110,17372,9
english_prose,111,16311,10
urls,92,44997,1
urls,55,25219,2
urls,115,15599,3
urls,65,14059,4
urls,114,12521,5
urls,45,12067,6
urls,37,11657,7
urls,93,11657,8
urls,118,8608,9
urls,129,8603,10
http_logs,133,86555,1
http_logs,135,85972,2
http_logs,138,75377,3
http_logs,134,56828,4
http_logs,137,53503,5
http_logs,136,47264,6
http_logs,139,42685,7
http_logs,143,40666,8
http_logs,141,38575,9
http_logs,144,32442,10
uuids,251,24631,1
uuids,252,24265,2
uuids,243,23623,3
uuids,239,21888,4
uuids,249,21378,5
uuids,250,19106,6
uuids,247,17144,7
uuids,253,16232,8
uuids,245,14971,9
uuids,216,13361,10
json,139,73628,1
json,73,50000,2
json,0,39038,3
json,137,38664,4
json,146,35233,5
json,59,34781,6
json,58,34274,7
json,152,33281,8
json,148,33058,9
json,111,31523,10
emails,0,19204,1
emails,40,14083,2
emails,67,11855,3
emails,33,8774,4
emails,18,8401,5
emails,19,6935,6
emails,68,6703,7
emails,90,5445,8
emails,86,5023,9
emails,17,4622,10
file_paths,24,29735,1
file_paths,40,17999,2
file_paths,25,15415,3
file_paths,51,13907,4
file_paths,12,10299,5
file_paths,41,8873,6
file_paths,8,7515,7
file_paths,42,6968,8
file_paths,14,6169,9
file_paths,26,5954,10
timestamps,207,50000,1
timestamps,217,19242,2
timestamps,218,9099,3
timestamps,219,8913,4
timestamps,221,7935,5
timestamps,96,5211,6
timestamps,220,5062,7
timestamps,95,5047,8
timestamps,88,4867,9
timestamps,92,4763,10
base64,211,39050,1
base64,251,37628,2
base64,194,37087,3
base64,213,37043,4
base64,246,36985,5
base64,230,36839,6
base64,199,36778,7
base64,249,36685,8
base64,193,36552,9
base64,208,36511,10
code_identifiers,27,12211,1
code_identifiers,28,11752,2
code_identifiers,44,10987,3
code_identifiers,30,6241,4
code_identifiers,29,5748,5
code_identifiers,45,5483,6
code_identifiers,101,4129,7
code_identifiers,103,3992,8
code_identifiers,121,3628,9
code_identifiers,104,3151,10
