case,rows,sample,iterations,ns
error_construct_drop,0,0,65536,45.128
error_construct_drop,0,1,65536,51.423
error_construct_drop,0,2,65536,53.462
error_construct_drop,0,3,65536,51.065
error_construct_drop,0,4,65536,27.091
error_construct_drop,0,5,65536,22.161
error_construct_drop,0,6,65536,30.802
error_construct_drop,0,7,65536,24.855
error_construct_drop,0,8,65536,24.635
error_construct_drop,0,9,65536,24.061
error_construct_drop,0,10,65536,22.474
error_construct_drop,0,11,65536,33.424
utf8_decode_inline,0,0,16384,115.735
utf8_decode_inline,0,1,16384,132.909
utf8_decode_inline,0,2,16384,102.468
utf8_decode_inline,0,3,16384,133.575
utf8_decode_inline,0,4,16384,137.647
utf8_decode_inline,0,5,16384,125.476
utf8_decode_inline,0,6,16384,121.508
utf8_decode_inline,0,7,16384,123.116
utf8_decode_inline,0,8,16384,121.498
utf8_decode_inline,0,9,16384,118.530
utf8_decode_inline,0,10,16384,122.345
utf8_decode_inline,0,11,16384,113.235
utf8_decode_external,0,0,32768,97.127
utf8_decode_external,0,1,32768,95.523
utf8_decode_external,0,2,32768,90.736
utf8_decode_external,0,3,32768,91.404
utf8_decode_external,0,4,32768,89.595
utf8_decode_external,0,5,32768,86.468
utf8_decode_external,0,6,32768,91.370
utf8_decode_external,0,7,32768,82.315
utf8_decode_external,0,8,32768,86.137
utf8_decode_external,0,9,32768,94.533
utf8_decode_external,0,10,32768,84.799
utf8_decode_external,0,11,32768,87.475
invocation_rowfn,0,0,16384,191.948
invocation_rowfn,0,1,16384,180.883
invocation_rowfn,0,2,16384,184.586
invocation_rowfn,0,3,16384,195.254
invocation_rowfn,0,4,16384,177.635
invocation_rowfn,0,5,16384,184.840
invocation_rowfn,0,6,16384,195.066
invocation_rowfn,0,7,16384,183.927
invocation_rowfn,0,8,16384,188.993
invocation_rowfn,0,9,16384,194.005
invocation_rowfn,0,10,16384,186.083
invocation_rowfn,0,11,16384,196.749
invocation_fresh_args,0,0,16384,194.873
invocation_fresh_args,0,1,16384,196.843
invocation_fresh_args,0,2,16384,195.653
invocation_fresh_args,0,3,16384,197.049
invocation_fresh_args,0,4,16384,193.321
invocation_fresh_args,0,5,16384,202.573
invocation_fresh_args,0,6,16384,185.806
invocation_fresh_args,0,7,16384,191.035
invocation_fresh_args,0,8,16384,193.624
invocation_fresh_args,0,9,16384,190.760
invocation_fresh_args,0,10,16384,200.854
invocation_fresh_args,0,11,16384,193.166
invocation_direct_collector,0,0,32768,66.291
invocation_direct_collector,0,1,32768,63.347
invocation_direct_collector,0,2,32768,61.653
invocation_direct_collector,0,3,32768,62.738
invocation_direct_collector,0,4,32768,61.642
invocation_direct_collector,0,5,32768,62.647
invocation_direct_collector,0,6,32768,61.016
invocation_direct_collector,0,7,32768,63.202
invocation_direct_collector,0,8,32768,64.551
invocation_direct_collector,0,9,32768,60.593
invocation_direct_collector,0,10,32768,61.320
invocation_direct_collector,0,11,32768,64.020
invocation_direct_iterator,0,0,32768,62.403
invocation_direct_iterator,0,1,32768,64.332
invocation_direct_iterator,0,2,32768,65.486
invocation_direct_iterator,0,3,32768,65.805
invocation_direct_iterator,0,4,32768,62.946
invocation_direct_iterator,0,5,32768,63.650
invocation_direct_iterator,0,6,32768,65.770
invocation_direct_iterator,0,7,32768,59.383
invocation_direct_iterator,0,8,32768,59.956
invocation_direct_iterator,0,9,32768,64.329
invocation_direct_iterator,0,10,32768,65.111
invocation_direct_iterator,0,11,32768,61.560
invocation_clone_drop,0,0,1048576,3.510
invocation_clone_drop,0,1,1048576,3.593
invocation_clone_drop,0,2,1048576,3.490
invocation_clone_drop,0,3,1048576,3.626
invocation_clone_drop,0,4,1048576,3.323
invocation_clone_drop,0,5,1048576,3.327
invocation_clone_drop,0,6,1048576,3.386
invocation_clone_drop,0,7,1048576,3.213
invocation_clone_drop,0,8,1048576,3.633
invocation_clone_drop,0,9,1048576,3.266
invocation_clone_drop,0,10,1048576,3.164
invocation_clone_drop,0,11,1048576,3.415
invocation_plan,0,0,262144,11.347
invocation_plan,0,1,262144,11.714
invocation_plan,0,2,262144,11.827
invocation_plan,0,3,262144,11.189
invocation_plan,0,4,262144,11.563
invocation_plan,0,5,262144,11.886
invocation_plan,0,6,262144,11.577
invocation_plan,0,7,262144,12.192
invocation_plan,0,8,262144,11.872
invocation_plan,0,9,262144,11.651
invocation_plan,0,10,262144,11.658
invocation_plan,0,11,262144,11.779
selected_valid_c0_plain,0,0,8192,472.224
selected_valid_c0_plain,0,1,8192,480.596
selected_valid_c0_plain,0,2,8192,497.732
selected_valid_c0_plain,0,3,8192,478.948
selected_valid_c0_plain,0,4,8192,479.284
selected_valid_c0_plain,0,5,8192,479.019
selected_valid_c0_plain,0,6,8192,482.859
selected_valid_c0_plain,0,7,8192,495.443
selected_valid_c0_plain,0,8,8192,466.568
selected_valid_c0_plain,0,9,8192,498.545
selected_valid_c0_plain,0,10,8192,481.628
selected_valid_c0_plain,0,11,8192,489.573
selected_valid_c0_multi,0,0,4096,487.630
selected_valid_c0_multi,0,1,4096,481.984
selected_valid_c0_multi,0,2,4096,493.866
selected_valid_c0_multi,0,3,4096,479.675
selected_valid_c0_multi,0,4,4096,486.196
selected_valid_c0_multi,0,5,4096,482.391
selected_valid_c0_multi,0,6,4096,480.336
selected_valid_c0_multi,0,7,4096,473.480
selected_valid_c0_multi,0,8,4096,487.895
selected_valid_c0_multi,0,9,4096,510.773
selected_valid_c0_multi,0,10,4096,453.776
selected_valid_c0_multi,0,11,4096,465.953
selected_filtered_c0_plain,0,0,4096,455.516
selected_filtered_c0_plain,0,1,4096,480.459
selected_filtered_c0_plain,0,2,4096,486.247
selected_filtered_c0_plain,0,3,4096,503.896
selected_filtered_c0_plain,0,4,4096,481.201
selected_filtered_c0_plain,0,5,4096,465.495
selected_filtered_c0_plain,0,6,4096,478.231
selected_filtered_c0_plain,0,7,4096,487.701
selected_filtered_c0_plain,0,8,4096,474.609
selected_filtered_c0_plain,0,9,4096,487.783
selected_filtered_c0_plain,0,10,4096,470.296
selected_filtered_c0_plain,0,11,4096,483.856
selected_filtered_c0_multi,0,0,8192,470.952
selected_filtered_c0_multi,0,1,8192,468.669
selected_filtered_c0_multi,0,2,8192,499.827
selected_filtered_c0_multi,0,3,8192,477.514
selected_filtered_c0_multi,0,4,8192,488.363
selected_filtered_c0_multi,0,5,8192,469.060
selected_filtered_c0_multi,0,6,8192,472.829
selected_filtered_c0_multi,0,7,8192,474.889
selected_filtered_c0_multi,0,8,8192,490.280
selected_filtered_c0_multi,0,9,8192,467.433
selected_filtered_c0_multi,0,10,8192,489.222
selected_filtered_c0_multi,0,11,8192,476.766
selected_valid_c1_plain,0,0,4096,614.766
selected_valid_c1_plain,0,1,4096,640.686
selected_valid_c1_plain,0,2,4096,642.812
selected_valid_c1_plain,0,3,4096,623.393
selected_valid_c1_plain,0,4,4096,623.444
selected_valid_c1_plain,0,5,4096,628.387
selected_valid_c1_plain,0,6,4096,642.588
selected_valid_c1_plain,0,7,4096,637.960
selected_valid_c1_plain,0,8,4096,663.503
selected_valid_c1_plain,0,9,4096,663.625
selected_valid_c1_plain,0,10,4096,630.280
selected_valid_c1_plain,0,11,4096,657.104
selected_valid_c1_multi,0,0,4096,640.727
selected_valid_c1_multi,0,1,4096,645.416
selected_valid_c1_multi,0,2,4096,628.194
selected_valid_c1_multi,0,3,4096,645.498
selected_valid_c1_multi,0,4,4096,681.437
selected_valid_c1_multi,0,5,4096,625.142
selected_valid_c1_multi,0,6,4096,657.043
selected_valid_c1_multi,0,7,4096,660.543
selected_valid_c1_multi,0,8,4096,643.667
selected_valid_c1_multi,0,9,4096,645.874
selected_valid_c1_multi,0,10,4096,669.495
selected_valid_c1_multi,0,11,4096,630.045
selected_filtered_c1_plain,0,0,4096,639.476
selected_filtered_c1_plain,0,1,4096,628.001
selected_filtered_c1_plain,0,2,4096,632.487
selected_filtered_c1_plain,0,3,4096,652.527
selected_filtered_c1_plain,0,4,4096,615.346
selected_filtered_c1_plain,0,5,4096,640.950
selected_filtered_c1_plain,0,6,4096,635.162
selected_filtered_c1_plain,0,7,4096,646.962
selected_filtered_c1_plain,0,8,4096,654.673
selected_filtered_c1_plain,0,9,4096,643.433
selected_filtered_c1_plain,0,10,4096,627.625
selected_filtered_c1_plain,0,11,4096,628.744
selected_filtered_c1_multi,0,0,4096,628.367
selected_filtered_c1_multi,0,1,4096,662.801
selected_filtered_c1_multi,0,2,4096,614.624
