case,rows,sample,iterations,ns
bool_dense_c0_plain,0,0,16384,237.534
bool_dense_c0_plain,0,1,16384,239.751
bool_dense_c0_plain,0,2,16384,238.396
bool_dense_c0_plain,0,3,16384,238.304
bool_dense_c0_plain,0,4,16384,247.543
bool_dense_c0_plain,0,5,16384,236.664
bool_dense_c0_plain,0,6,16384,239.438
bool_dense_c0_plain,0,7,16384,234.968
bool_dense_c0_plain,0,8,16384,237.806
bool_dense_c0_plain,0,9,16384,239.721
bool_dense_c0_plain,0,10,16384,239.085
bool_dense_c0_plain,0,11,16384,238.060
bool_dense_c0_multi,0,0,8192,240.280
bool_dense_c0_multi,0,1,8192,239.594
bool_dense_c0_multi,0,2,8192,239.416
bool_dense_c0_multi,0,3,8192,239.390
bool_dense_c0_multi,0,4,8192,240.962
bool_dense_c0_multi,0,5,8192,239.268
bool_dense_c0_multi,0,6,8192,239.141
bool_dense_c0_multi,0,7,8192,239.166
bool_dense_c0_multi,0,8,8192,239.700
bool_dense_c0_multi,0,9,8192,239.075
bool_dense_c0_multi,0,10,8192,245.290
bool_dense_c0_multi,0,11,8192,239.436
bool_dense_c1_plain,0,0,8192,393.738
bool_dense_c1_plain,0,1,8192,393.865
bool_dense_c1_plain,0,2,8192,391.907
bool_dense_c1_plain,0,3,8192,392.064
bool_dense_c1_plain,0,4,8192,392.344
bool_dense_c1_plain,0,5,8192,391.830
bool_dense_c1_plain,0,6,8192,392.502
bool_dense_c1_plain,0,7,8192,395.472
bool_dense_c1_plain,0,8,8192,392.756
bool_dense_c1_plain,0,9,8192,392.273
bool_dense_c1_plain,0,10,8192,392.548
bool_dense_c1_plain,0,11,8192,393.575
bool_dense_c1_multi,0,0,8192,418.767
bool_dense_c1_multi,0,1,8192,394.430
bool_dense_c1_multi,0,2,8192,396.545
bool_dense_c1_multi,0,3,8192,400.691
bool_dense_c1_multi,0,4,8192,401.255
bool_dense_c1_multi,0,5,8192,396.388
bool_dense_c1_multi,0,6,8192,396.535
bool_dense_c1_multi,0,7,8192,398.748
bool_dense_c1_multi,0,8,8192,397.685
bool_dense_c1_multi,0,9,8192,397.603
bool_dense_c1_multi,0,10,8192,398.005
bool_dense_c1_multi,0,11,8192,397.003
bool_dense_c2_plain,0,0,8192,396.459
bool_dense_c2_plain,0,1,8192,394.460
bool_dense_c2_plain,0,2,8192,394.363
bool_dense_c2_plain,0,3,8192,394.053
bool_dense_c2_plain,0,4,8192,394.857
bool_dense_c2_plain,0,5,8192,393.941
bool_dense_c2_plain,0,6,8192,397.151
bool_dense_c2_plain,0,7,8192,393.789
bool_dense_c2_plain,0,8,8192,393.580
bool_dense_c2_plain,0,9,8192,394.180
bool_dense_c2_plain,0,10,8192,407.984
bool_dense_c2_plain,0,11,8192,393.850
bool_dense_c2_multi,0,0,8192,400.579
bool_dense_c2_multi,0,1,8192,397.639
bool_dense_c2_multi,0,2,8192,398.671
bool_dense_c2_multi,0,3,8192,398.854
bool_dense_c2_multi,0,4,8192,397.558
bool_dense_c2_multi,0,5,8192,397.873
bool_dense_c2_multi,0,6,8192,399.038
bool_dense_c2_multi,0,7,8192,401.698
bool_dense_c2_multi,0,8,8192,397.319
bool_dense_c2_multi,0,9,8192,397.644
bool_dense_c2_multi,0,10,8192,399.221
bool_dense_c2_multi,0,11,8192,418.457
bool_partial_c0_plain,0,0,8192,452.204
bool_partial_c0_plain,0,1,8192,451.665
bool_partial_c0_plain,0,2,8192,452.082
bool_partial_c0_plain,0,3,8192,452.962
bool_partial_c0_plain,0,4,8192,451.797
bool_partial_c0_plain,0,5,8192,452.830
bool_partial_c0_plain,0,6,8192,453.242
bool_partial_c0_plain,0,7,8192,451.146
bool_partial_c0_plain,0,8,8192,451.090
bool_partial_c0_plain,0,9,8192,450.633
bool_partial_c0_plain,0,10,8192,449.992
bool_partial_c0_plain,0,11,8192,454.483
bool_partial_c0_multi,0,0,8192,454.468
bool_partial_c0_multi,0,1,8192,455.577
bool_partial_c0_multi,0,2,8192,455.836
bool_partial_c0_multi,0,3,8192,471.888
bool_partial_c0_multi,0,4,8192,454.524
