case,rows,sample,iterations,ns
bool_dense_c0_plain,0,0,16384,239.009
bool_dense_c0_plain,0,1,16384,239.950
bool_dense_c0_plain,0,2,16384,240.283
bool_dense_c0_plain,0,3,16384,242.236
bool_dense_c0_plain,0,4,16384,240.407
bool_dense_c0_plain,0,5,16384,240.318
bool_dense_c0_plain,0,6,16384,241.015
bool_dense_c0_plain,0,7,16384,241.094
bool_dense_c0_plain,0,8,16384,240.306
bool_dense_c0_plain,0,9,16384,240.232
bool_dense_c0_plain,0,10,16384,240.341
bool_dense_c0_plain,0,11,16384,240.265
bool_dense_c0_multi,0,0,16384,240.802
bool_dense_c0_multi,0,1,16384,241.819
bool_dense_c0_multi,0,2,16384,241.521
bool_dense_c0_multi,0,3,16384,241.669
bool_dense_c0_multi,0,4,16384,241.661
bool_dense_c0_multi,0,5,16384,241.262
bool_dense_c0_multi,0,6,16384,243.403
bool_dense_c0_multi,0,7,16384,241.501
bool_dense_c0_multi,0,8,16384,241.742
bool_dense_c0_multi,0,9,16384,243.299
bool_dense_c0_multi,0,10,16384,241.086
bool_dense_c0_multi,0,11,16384,242.587
bool_dense_c1_plain,0,0,8192,409.983
bool_dense_c1_plain,0,1,8192,407.140
bool_dense_c1_plain,0,2,8192,397.649
bool_dense_c1_plain,0,3,8192,397.502
bool_dense_c1_plain,0,4,8192,397.242
bool_dense_c1_plain,0,5,8192,398.112
bool_dense_c1_plain,0,6,8192,397.029
bool_dense_c1_plain,0,7,8192,396.698
bool_dense_c1_plain,0,8,8192,396.352
bool_dense_c1_plain,0,9,8192,396.561
bool_dense_c1_plain,0,10,8192,396.215
bool_dense_c1_plain,0,11,8192,396.291
bool_dense_c1_multi,0,0,8192,396.764
bool_dense_c1_multi,0,1,8192,397.827
bool_dense_c1_multi,0,2,8192,396.057
bool_dense_c1_multi,0,3,8192,396.067
bool_dense_c1_multi,0,4,8192,396.072
bool_dense_c1_multi,0,5,8192,396.123
bool_dense_c1_multi,0,6,8192,397.715
bool_dense_c1_multi,0,7,8192,396.291
bool_dense_c1_multi,0,8,8192,399.404
bool_dense_c1_multi,0,9,8192,395.828
bool_dense_c1_multi,0,10,8192,396.500
bool_dense_c1_multi,0,11,8192,395.940
bool_dense_c2_plain,0,0,8192,393.992
bool_dense_c2_plain,0,1,8192,393.621
bool_dense_c2_plain,0,2,8192,394.048
bool_dense_c2_plain,0,3,8192,394.613
bool_dense_c2_plain,0,4,8192,393.977
bool_dense_c2_plain,0,5,8192,401.667
bool_dense_c2_plain,0,6,8192,392.665
bool_dense_c2_plain,0,7,8192,393.244
bool_dense_c2_plain,0,8,8192,393.824
bool_dense_c2_plain,0,9,8192,394.109
bool_dense_c2_plain,0,10,8192,392.573
bool_dense_c2_plain,0,11,8192,393.600
bool_dense_c2_multi,0,0,8192,393.936
bool_dense_c2_multi,0,1,8192,398.300
bool_dense_c2_multi,0,2,8192,393.646
bool_dense_c2_multi,0,3,8192,393.219
bool_dense_c2_multi,0,4,8192,395.650
bool_dense_c2_multi,0,5,8192,409.658
bool_dense_c2_multi,0,6,8192,394.440
bool_dense_c2_multi,0,7,8192,393.992
bool_dense_c2_multi,0,8,8192,393.768
bool_dense_c2_multi,0,9,8192,393.183
bool_dense_c2_multi,0,10,8192,394.358
bool_dense_c2_multi,0,11,8192,396.810
bool_partial_c0_plain,0,0,8192,457.224
bool_partial_c0_plain,0,1,8192,455.175
bool_partial_c0_plain,0,2,8192,455.902
bool_partial_c0_plain,0,3,8192,454.427
bool_partial_c0_plain,0,4,8192,454.605
bool_partial_c0_plain,0,5,8192,452.820
bool_partial_c0_plain,0,6,8192,456.060
bool_partial_c0_plain,0,7,8192,453.817
bool_partial_c0_plain,0,8,8192,453.817
bool_partial_c0_plain,0,9,8192,453.857
bool_partial_c0_plain,0,10,8192,456.248
bool_partial_c0_plain,0,11,8192,453.517
bool_partial_c0_multi,0,0,8192,455.246
bool_partial_c0_multi,0,1,8192,457.779
bool_partial_c0_multi,0,2,8192,453.461
bool_partial_c0_multi,0,3,8192,453.522
bool_partial_c0_multi,0,4,8192,454.183
bool_partial_c0_multi,0,5,8192,459.793
bool_partial_c0_multi,0,6,8192,455.475
bool_partial_c0_multi,0,7,8192,457.952
bool_partial_c0_multi,0,8,8192,463.852
bool_partial_c0_multi,0,9,8192,454.117
bool_partial_c0_multi,0,10,8192,458.796
bool_partial_c0_multi,0,11,8192,455.027
bool_partial_c1_plain,0,0,4096,613.068
bool_partial_c1_plain,0,1,4096,616.638
bool_partial_c1_plain,0,2,4096,612.355
bool_partial_c1_plain,0,3,4096,618.642
bool_partial_c1_plain,0,4,4096,615.326
bool_partial_c1_plain,0,5,4096,612.630
bool_partial_c1_plain,0,6,4096,614.197
bool_partial_c1_plain,0,7,4096,617.584
bool_partial_c1_plain,0,8,4096,641.174
bool_partial_c1_plain,0,9,4096,622.752
bool_partial_c1_plain,0,10,4096,615.428
bool_partial_c1_plain,0,11,4096,615.173
bool_partial_c1_multi,0,0,4096,617.218
bool_partial_c1_multi,0,1,4096,614.105
bool_partial_c1_multi,0,2,4096,617.014
bool_partial_c1_multi,0,3,4096,615.611
bool_partial_c1_multi,0,4,4096,615.010
bool_partial_c1_multi,0,5,4096,614.105
bool_partial_c1_multi,0,6,4096,614.044
bool_partial_c1_multi,0,7,4096,614.807
bool_partial_c1_multi,0,8,4096,615.163
bool_partial_c1_multi,0,9,4096,621.704
bool_partial_c1_multi,0,10,4096,613.627
bool_partial_c1_multi,0,11,4096,614.583
bool_partial_c2_plain,0,0,4096,612.355
bool_partial_c2_plain,0,1,4096,613.241
bool_partial_c2_plain,0,2,4096,612.183
bool_partial_c2_plain,0,3,4096,611.491
bool_partial_c2_plain,0,4,4096,614.502
bool_partial_c2_plain,0,5,4096,612.793
bool_partial_c2_plain,0,6,4096,612.874
bool_partial_c2_plain,0,7,4096,611.460
bool_partial_c2_plain,0,8,4096,618.134
bool_partial_c2_plain,0,9,4096,612.305
bool_partial_c2_plain,0,10,4096,612.508
bool_partial_c2_plain,0,11,4096,612.498
bool_partial_c2_multi,0,0,4096,612.671
bool_partial_c2_multi,0,1,4096,612.193
bool_partial_c2_multi,0,2,4096,612.244
bool_partial_c2_multi,0,3,4096,613.535
bool_partial_c2_multi,0,4,4096,612.386
bool_partial_c2_multi,0,5,4096,614.889
bool_partial_c2_multi,0,6,4096,611.521
bool_partial_c2_multi,0,7,4096,613.393
bool_partial_c2_multi,0,8,4096,619.924
bool_partial_c2_multi,0,9,4096,612.468
bool_partial_c2_multi,0,10,4096,611.633
bool_partial_c2_multi,0,11,4096,612.620
bool_retry_c0_plain,0,0,8192,453.827
bool_retry_c0_plain,0,1,8192,456.238
bool_retry_c0_plain,0,2,8192,456.248
bool_retry_c0_plain,0,3,8192,456.085
bool_retry_c0_plain,0,4,8192,457.113
bool_retry_c0_plain,0,5,8192,454.620
bool_retry_c0_plain,0,6,8192,459.106
bool_retry_c0_plain,0,7,8192,466.924
bool_retry_c0_plain,0,8,8192,456.350
bool_retry_c0_plain,0,9,8192,456.258
bool_retry_c0_plain,0,10,8192,455.053
bool_retry_c0_plain,0,11,8192,455.175
bool_retry_c0_multi,0,0,8192,455.012
bool_retry_c0_multi,0,1,8192,454.661
bool_retry_c0_multi,0,2,8192,457.438
bool_retry_c0_multi,0,3,8192,456.055
bool_retry_c0_multi,0,4,8192,454.376
bool_retry_c0_multi,0,5,8192,456.411
bool_retry_c0_multi,0,6,8192,454.920
bool_retry_c0_multi,0,7,8192,454.386
bool_retry_c0_multi,0,8,8192,457.591
bool_retry_c0_multi,0,9,8192,455.795
bool_retry_c0_multi,0,10,8192,460.322
bool_retry_c0_multi,0,11,8192,464.574
bool_retry_c1_plain,0,0,4096,626.617
bool_retry_c1_plain,0,1,4096,620.331
bool_retry_c1_plain,0,2,4096,616.323
bool_retry_c1_plain,0,3,4096,617.045
bool_retry_c1_plain,0,4,4096,621.755
bool_retry_c1_plain,0,5,4096,622.528
bool_retry_c1_plain,0,6,4096,624.481
bool_retry_c1_plain,0,7,4096,621.267
bool_retry_c1_plain,0,8,4096,617.808
bool_retry_c1_plain,0,9,4096,615.184
bool_retry_c1_plain,0,10,4096,622.406
bool_retry_c1_plain,0,11,4096,616.160
bool_retry_c1_multi,0,0,4096,615.926
bool_retry_c1_multi,0,1,4096,615.265
bool_retry_c1_multi,0,2,4096,614.726
bool_retry_c1_multi,0,3,4096,617.625
bool_retry_c1_multi,0,4,4096,615.224
bool_retry_c1_multi,0,5,4096,621.246
bool_retry_c1_multi,0,6,4096,616.018
bool_retry_c1_multi,0,7,4096,615.245
bool_retry_c1_multi,0,8,4096,618.123
bool_retry_c1_multi,0,9,4096,619.537
bool_retry_c1_multi,0,10,4096,614.705
bool_retry_c1_multi,0,11,4096,621.765
bool_retry_c2_plain,0,0,4096,617.157
bool_retry_c2_plain,0,1,4096,617.503
bool_retry_c2_plain,0,2,4096,642.232
bool_retry_c2_plain,0,3,4096,619.893
bool_retry_c2_plain,0,4,4096,628.367
bool_retry_c2_plain,0,5,4096,616.821
bool_retry_c2_plain,0,6,4096,618.764
bool_retry_c2_plain,0,7,4096,617.950
bool_retry_c2_plain,0,8,4096,619.029
bool_retry_c2_plain,0,9,4096,619.446
bool_retry_c2_plain,0,10,4096,616.750
bool_retry_c2_plain,0,11,4096,616.720
bool_retry_c2_multi,0,0,4096,618.896
bool_retry_c2_multi,0,1,4096,616.394
bool_retry_c2_multi,0,2,4096,617.442
bool_retry_c2_multi,0,3,4096,616.476
bool_retry_c2_multi,0,4,4096,630.941
bool_retry_c2_multi,0,5,4096,620.178
bool_retry_c2_multi,0,6,4096,618.296
bool_retry_c2_multi,0,7,4096,617.432
bool_retry_c2_multi,0,8,4096,620.667
bool_retry_c2_multi,0,9,4096,615.458
bool_retry_c2_multi,0,10,4096,641.815
bool_retry_c2_multi,0,11,4096,619.639
bool_failure_c0_plain,0,0,16384,240.011
bool_failure_c0_plain,0,1,16384,244.153
bool_failure_c0_plain,0,2,16384,240.504
bool_failure_c0_plain,0,3,16384,240.494
bool_failure_c0_plain,0,4,16384,242.022
bool_failure_c0_plain,0,5,16384,240.540
bool_failure_c0_plain,0,6,16384,240.679
bool_failure_c0_plain,0,7,16384,240.662
bool_failure_c0_plain,0,8,16384,240.306
bool_failure_c0_plain,0,9,16384,240.234
bool_failure_c0_plain,0,10,16384,241.076
bool_failure_c0_plain,0,11,16384,240.336
bool_failure_c0_multi,0,0,16384,241.348
bool_failure_c0_multi,0,1,16384,242.190
bool_failure_c0_multi,0,2,16384,242.116
bool_failure_c0_multi,0,3,16384,244.548
bool_failure_c0_multi,0,4,16384,244.319
bool_failure_c0_multi,0,5,16384,242.584
bool_failure_c0_multi,0,6,16384,244.781
bool_failure_c0_multi,0,7,16384,253.220
bool_failure_c0_multi,0,8,16384,243.136
bool_failure_c0_multi,0,9,16384,243.223
bool_failure_c0_multi,0,10,16384,239.566
bool_failure_c0_multi,0,11,16384,240.957
bool_failure_c1_plain,0,0,8192,397.318
bool_failure_c1_plain,0,1,8192,396.347
bool_failure_c1_plain,0,2,8192,398.315
bool_failure_c1_plain,0,3,8192,396.403
bool_failure_c1_plain,0,4,8192,396.215
bool_failure_c1_plain,0,5,8192,396.698
bool_failure_c1_plain,0,6,8192,396.601
bool_failure_c1_plain,0,7,8192,397.120
bool_failure_c1_plain,0,8,8192,397.461
bool_failure_c1_plain,0,9,8192,402.527
bool_failure_c1_plain,0,10,8192,398.799
bool_failure_c1_plain,0,11,8192,395.330
bool_failure_c1_multi,0,0,8192,400.828
bool_failure_c1_multi,0,1,8192,400.818
bool_failure_c1_multi,0,2,8192,400.731
bool_failure_c1_multi,0,3,8192,397.288
bool_failure_c1_multi,0,4,8192,397.049
bool_failure_c1_multi,0,5,8192,400.742
bool_failure_c1_multi,0,6,8192,396.021
bool_failure_c1_multi,0,7,8192,396.037
bool_failure_c1_multi,0,8,8192,403.524
bool_failure_c1_multi,0,9,8192,402.298
bool_failure_c1_multi,0,10,8192,400.859
bool_failure_c1_multi,0,11,8192,396.362
bool_failure_c2_plain,0,0,8192,396.210
bool_failure_c2_plain,0,1,8192,395.599
bool_failure_c2_plain,0,2,8192,398.763
bool_failure_c2_plain,0,3,8192,395.793
bool_failure_c2_plain,0,4,8192,395.269
bool_failure_c2_plain,0,5,8192,397.400
bool_failure_c2_plain,0,6,8192,398.107
bool_failure_c2_plain,0,7,8192,395.126
bool_failure_c2_plain,0,8,8192,394.892
bool_failure_c2_plain,0,9,8192,394.414
bool_failure_c2_plain,0,10,8192,411.708
bool_failure_c2_plain,0,11,8192,394.770
bool_failure_c2_multi,0,0,8192,393.911
bool_failure_c2_multi,0,1,8192,393.916
bool_failure_c2_multi,0,2,8192,395.996
bool_failure_c2_multi,0,3,8192,393.656
