family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
bool,baseline,avx2,multiversioned,16384,Columns,AllValid,220000.0,337900.0,241900.0,244600.0
bool,baseline,avx2,multiversioned,16384,Columns,NullOnlyFailure,344300.0,367200.0,348800.0,349500.0
bool,baseline,avx2,multiversioned,16384,Columns,ObservableFailure,277500.0,488000.0,291600.0,294700.0
bool,baseline,avx2,multiversioned,16384,Columns,PartialAccepted,110400.0,131600.0,111000.0,112300.0
bool,baseline,avx2,multiversioned,16384,ConstantLhs,AllValid,210500.0,327800.0,230200.0,235800.0
bool,baseline,avx2,multiversioned,16384,ConstantLhs,NullOnlyFailure,456800.0,712100.0,475200.0,475300.0
bool,baseline,avx2,multiversioned,16384,ConstantLhs,ObservableFailure,267600.0,336200.0,280800.0,284500.0
bool,baseline,avx2,multiversioned,16384,ConstantLhs,PartialAccepted,206400.0,238100.0,217100.0,218500.0
bool,baseline,avx2,multiversioned,16384,ConstantRhs,AllValid,226800.0,411600.0,265700.0,272100.0
bool,baseline,avx2,multiversioned,16384,ConstantRhs,NullOnlyFailure,454600.0,578300.0,463200.0,463600.0
bool,baseline,avx2,multiversioned,16384,ConstantRhs,ObservableFailure,279100.0,473600.0,291900.0,295300.0
bool,baseline,avx2,multiversioned,16384,ConstantRhs,PartialAccepted,206100.0,277700.0,206800.0,209200.0
bool,baseline,avx2,plain,16384,Columns,AllValid,96990.0,117200.0,97200.0,98460.0
bool,baseline,avx2,plain,16384,Columns,NullOnlyFailure,344300.0,390500.0,349500.0,350500.0
bool,baseline,avx2,plain,16384,Columns,ObservableFailure,153400.0,209000.0,154500.0,156300.0
bool,baseline,avx2,plain,16384,Columns,PartialAccepted,110500.0,131400.0,110900.0,112300.0
bool,baseline,avx2,plain,16384,ConstantLhs,AllValid,97820.0,124400.0,98110.0,99290.0
bool,baseline,avx2,plain,16384,ConstantLhs,NullOnlyFailure,461500.0,511500.0,479300.0,479300.0
bool,baseline,avx2,plain,16384,ConstantLhs,ObservableFailure,154400.0,209000.0,155300.0,157100.0
bool,baseline,avx2,plain,16384,ConstantLhs,PartialAccepted,206400.0,242000.0,217000.0,218200.0
bool,baseline,avx2,plain,16384,ConstantRhs,AllValid,97530.0,281300.0,97800.0,99230.0
bool,baseline,avx2,plain,16384,ConstantRhs,NullOnlyFailure,452300.0,574800.0,461800.0,462300.0
bool,baseline,avx2,plain,16384,ConstantRhs,ObservableFailure,153900.0,206700.0,154900.0,156700.0
bool,baseline,avx2,plain,16384,ConstantRhs,PartialAccepted,206100.0,226100.0,206700.0,208900.0
bool,baseline,avx512,multiversioned,16384,Columns,AllValid,37770.0,52440.0,38810.0,39150.0
bool,baseline,avx512,multiversioned,16384,Columns,NullOnlyFailure,276200.0,303800.0,280500.0,281200.0
bool,baseline,avx512,multiversioned,16384,Columns,ObservableFailure,94280.0,114200.0,95290.0,97030.0
bool,baseline,avx512,multiversioned,16384,Columns,PartialAccepted,42400.0,57520.0,42810.0,43430.0
bool,baseline,avx512,multiversioned,16384,ConstantLhs,AllValid,32450.000000000004,43680.0,32700.000000000004,33640.0
bool,baseline,avx512,multiversioned,16384,ConstantLhs,NullOnlyFailure,471000.0,695300.0,477500.0,476900.0
bool,baseline,avx512,multiversioned,16384,ConstantLhs,ObservableFailure,88910.0,113200.0,89910.0,91250.0
bool,baseline,avx512,multiversioned,16384,ConstantLhs,PartialAccepted,206200.0,250300.0,206900.0,209100.0
bool,baseline,avx512,multiversioned,16384,ConstantRhs,AllValid,32180.0,45300.0,32420.0,33050.0
bool,baseline,avx512,multiversioned,16384,ConstantRhs,NullOnlyFailure,455000.0,482700.0,462000.0,461700.0
bool,baseline,avx512,multiversioned,16384,ConstantRhs,ObservableFailure,88650.0,101300.0,89850.0,90990.0
bool,baseline,avx512,multiversioned,16384,ConstantRhs,PartialAccepted,206700.0,239900.0,210100.0,212000.0
bool,baseline,avx512,plain,16384,Columns,AllValid,37690.0,49590.0,37940.0,38830.0
bool,baseline,avx512,plain,16384,Columns,NullOnlyFailure,276500.0,447100.0,280600.0,281400.0
bool,baseline,avx512,plain,16384,Columns,ObservableFailure,94200.0,113800.0,95890.0,97520.0
bool,baseline,avx512,plain,16384,Columns,PartialAccepted,42500.0,128300.00000000001,42950.0,43630.0
bool,baseline,avx512,plain,16384,ConstantLhs,AllValid,32380.000000000004,43420.0,32590.000000000004,33250.0
bool,baseline,avx512,plain,16384,ConstantLhs,NullOnlyFailure,471100.0,509500.0,478100.0,477700.0
bool,baseline,avx512,plain,16384,ConstantLhs,ObservableFailure,88900.0,103500.0,90010.0,91190.0
bool,baseline,avx512,plain,16384,ConstantLhs,PartialAccepted,206500.0,309800.0,207000.0,209300.0
bool,baseline,avx512,plain,16384,ConstantRhs,AllValid,32140.0,42840.0,32310.000000000004,32910.0
bool,baseline,avx512,plain,16384,ConstantRhs,NullOnlyFailure,456200.0,504900.0,464800.0,465000.0
bool,baseline,avx512,plain,16384,ConstantRhs,ObservableFailure,88640.0,120600.0,89860.0,91040.0
bool,baseline,avx512,plain,16384,ConstantRhs,PartialAccepted,206500.0,264800.0,216300.0,216400.0
bool,baseline,neon,multiversioned,16384,Columns,AllValid,74880.0,87540.0,76290.0,77010.0
bool,baseline,neon,multiversioned,16384,Columns,NullOnlyFailure,375500.0,413800.0,384100.0,384400.0
bool,baseline,neon,multiversioned,16384,Columns,ObservableFailure,177900.0,197400.0,182500.0,183500.0
bool,baseline,neon,multiversioned,16384,Columns,PartialAccepted,64830.0,112800.0,68320.0,68900.0
bool,baseline,neon,multiversioned,16384,ConstantLhs,AllValid,48680.0,59650.0,50380.0,50840.0
bool,baseline,neon,multiversioned,16384,ConstantLhs,NullOnlyFailure,481700.0,522500.0,489700.0,490300.0
bool,baseline,neon,multiversioned,16384,ConstantLhs,ObservableFailure,150800.0,169100.0,154200.0,155300.0
bool,baseline,neon,multiversioned,16384,ConstantLhs,PartialAccepted,170900.0,186200.0,173300.0,174200.0
bool,baseline,neon,multiversioned,16384,ConstantRhs,AllValid,48380.0,58190.0,49500.0,50040.0
bool,baseline,neon,multiversioned,16384,ConstantRhs,NullOnlyFailure,480800.0,527900.0,490200.0,490900.0
bool,baseline,neon,multiversioned,16384,ConstantRhs,ObservableFailure,150000.0,190300.0,152800.0,153700.0
bool,baseline,neon,multiversioned,16384,ConstantRhs,PartialAccepted,174300.0,207900.0,177900.0,179400.0
bool,baseline,neon,plain,16384,Columns,AllValid,62880.0,90860.0,64690.0,65319.99999999999
bool,baseline,neon,plain,16384,Columns,NullOnlyFailure,377400.0,444700.0,388900.0,389300.0
bool,baseline,neon,plain,16384,Columns,ObservableFailure,160400.0,177800.0,165100.0,165600.0
bool,baseline,neon,plain,16384,Columns,PartialAccepted,67680.0,90010.0,70750.0,71440.0
bool,baseline,neon,plain,16384,ConstantLhs,AllValid,49070.0,61890.0,50290.0,50720.0
bool,baseline,neon,plain,16384,ConstantLhs,NullOnlyFailure,480000.0,519600.0,490200.0,490300.0
bool,baseline,neon,plain,16384,ConstantLhs,ObservableFailure,150300.0,181700.0,152500.0,153900.0
bool,baseline,neon,plain,16384,ConstantLhs,PartialAccepted,171700.0,202600.0,174300.0,175700.0
bool,baseline,neon,plain,16384,ConstantRhs,AllValid,45400.0,95760.0,46480.0,46950.0
bool,baseline,neon,plain,16384,ConstantRhs,NullOnlyFailure,481300.0,557300.0,490600.0,491500.0
bool,baseline,neon,plain,16384,ConstantRhs,ObservableFailure,145800.0,181100.0,148200.0,149400.0
bool,baseline,neon,plain,16384,ConstantRhs,PartialAccepted,174400.0,214400.0,178200.0,179200.0
bool,capture,avx2,multiversioned,16384,Columns,AllValid,225500.0,245000.0,225900.0,228200.0
bool,capture,avx2,multiversioned,16384,Columns,NullOnlyFailure,468800.0,637700.0,476100.0,475600.0
bool,capture,avx2,multiversioned,16384,Columns,ObservableFailure,282500.0,403400.0,286100.0,286900.0
bool,capture,avx2,multiversioned,16384,Columns,PartialAccepted,231800.0,427700.0,232400.0,234900.0
bool,capture,avx2,multiversioned,16384,ConstantLhs,AllValid,225500.0,251300.0,225900.0,228400.0
bool,capture,avx2,multiversioned,16384,ConstantLhs,NullOnlyFailure,483200.0,607800.0,492200.0,493000.0
bool,capture,avx2,multiversioned,16384,ConstantLhs,ObservableFailure,282600.0,335400.0,286000.0,286600.0
bool,capture,avx2,multiversioned,16384,ConstantLhs,PartialAccepted,231600.0,269100.0,232300.0,234600.0
bool,capture,avx2,multiversioned,16384,ConstantRhs,AllValid,225300.0,245900.0,225700.0,228100.0
bool,capture,avx2,multiversioned,16384,ConstantRhs,NullOnlyFailure,483200.0,557900.0,490500.0,490500.0
bool,capture,avx2,multiversioned,16384,ConstantRhs,ObservableFailure,282300.0,302600.0,285400.0,286100.0
bool,capture,avx2,multiversioned,16384,ConstantRhs,PartialAccepted,231800.0,265000.0,232300.0,234500.0
bool,capture,avx2,plain,16384,Columns,AllValid,97080.0,149400.0,97390.0,98570.0
bool,capture,avx2,plain,16384,Columns,NullOnlyFailure,340100.0,381600.0,344500.0,345100.0
bool,capture,avx2,plain,16384,Columns,ObservableFailure,154100.0,170900.0,155200.0,156800.0
bool,capture,avx2,plain,16384,Columns,PartialAccepted,103700.0,116500.0,104200.0,105500.0
bool,capture,avx2,plain,16384,ConstantLhs,AllValid,97950.0,132500.0,98270.0,99530.0
bool,capture,avx2,plain,16384,ConstantLhs,NullOnlyFailure,356200.0,416200.0,363600.0,364200.0
bool,capture,avx2,plain,16384,ConstantLhs,ObservableFailure,154600.0,259300.0,155800.0,157400.0
bool,capture,avx2,plain,16384,ConstantLhs,PartialAccepted,104200.0,138800.0,104800.0,106000.0
bool,capture,avx2,plain,16384,ConstantRhs,AllValid,97690.0,149300.0,98010.0,99220.0
bool,capture,avx2,plain,16384,ConstantRhs,NullOnlyFailure,356500.0,437500.0,368400.0,368800.0
bool,capture,avx2,plain,16384,ConstantRhs,ObservableFailure,154500.0,194300.0,155800.0,157500.0
bool,capture,avx2,plain,16384,ConstantRhs,PartialAccepted,104300.0,124100.0,104800.0,106100.0
bool,capture,avx512,multiversioned,16384,Columns,AllValid,37660.0,123000.0,37950.0,38990.0
bool,capture,avx512,multiversioned,16384,Columns,NullOnlyFailure,279200.0,486200.0,285900.0,287000.0
bool,capture,avx512,multiversioned,16384,Columns,ObservableFailure,93850.0,174700.0,95160.0,97370.0
bool,capture,avx512,multiversioned,16384,Columns,PartialAccepted,44170.0,62990.0,44880.0,45720.0
bool,capture,avx512,multiversioned,16384,ConstantLhs,AllValid,30620.0,41340.0,30970.0,31580.0
bool,capture,avx512,multiversioned,16384,ConstantLhs,NullOnlyFailure,301300.0,506400.0,308400.0,308800.0
bool,capture,avx512,multiversioned,16384,ConstantLhs,ObservableFailure,86670.0,100500.0,87560.0,88680.0
bool,capture,avx512,multiversioned,16384,ConstantLhs,PartialAccepted,36930.0,46410.0,37420.0,37980.0
bool,capture,avx512,multiversioned,16384,ConstantRhs,AllValid,30500.0,42720.0,30840.0,31620.0
bool,capture,avx512,multiversioned,16384,ConstantRhs,NullOnlyFailure,286400.0,316200.0,293700.0,293900.0
bool,capture,avx512,multiversioned,16384,ConstantRhs,ObservableFailure,86700.0,288800.0,87570.0,88910.0
bool,capture,avx512,multiversioned,16384,ConstantRhs,PartialAccepted,36920.0,50600.0,37380.0,38000.0
bool,capture,avx512,plain,16384,Columns,AllValid,37630.0,48310.0,38030.0,38960.0
bool,capture,avx512,plain,16384,Columns,NullOnlyFailure,279400.0,305600.0,285700.0,286100.0
bool,capture,avx512,plain,16384,Columns,ObservableFailure,93610.0,125600.0,94640.0,96680.0
bool,capture,avx512,plain,16384,Columns,PartialAccepted,44210.0,55570.0,44850.0,45610.0
bool,capture,avx512,plain,16384,ConstantLhs,AllValid,32229.999999999996,62380.0,32479.999999999996,33070.0
bool,capture,avx512,plain,16384,ConstantLhs,NullOnlyFailure,302700.0,333900.0,309900.0,310200.0
bool,capture,avx512,plain,16384,ConstantLhs,ObservableFailure,87840.0,121100.0,89090.0,90450.0
bool,capture,avx512,plain,16384,ConstantLhs,PartialAccepted,38680.0,48470.0,39160.0,39740.0
bool,capture,avx512,plain,16384,ConstantRhs,AllValid,32040.0,43190.0,32340.000000000004,33000.0
bool,capture,avx512,plain,16384,ConstantRhs,NullOnlyFailure,288700.0,321300.0,297100.0,297600.0
bool,capture,avx512,plain,16384,ConstantRhs,ObservableFailure,87840.0,100400.0,88910.0,90020.0
bool,capture,avx512,plain,16384,ConstantRhs,PartialAccepted,38770.0,48640.0,39230.0,39940.0
bool,capture,neon,multiversioned,16384,Columns,AllValid,61760.0,78120.0,63180.0,63530.0
bool,capture,neon,multiversioned,16384,Columns,NullOnlyFailure,382900.0,436400.0,392800.0,393100.0
bool,capture,neon,multiversioned,16384,Columns,ObservableFailure,159600.0,177100.0,164100.0,164300.0
bool,capture,neon,multiversioned,16384,Columns,PartialAccepted,68130.0,84370.0,69600.0,70110.0
bool,capture,neon,multiversioned,16384,ConstantLhs,AllValid,48330.0,81730.0,49450.0,49780.0
bool,capture,neon,multiversioned,16384,ConstantLhs,NullOnlyFailure,379500.0,423100.0,390500.0,390400.0
bool,capture,neon,multiversioned,16384,ConstantLhs,ObservableFailure,149900.0,163700.0,152000.0,152600.0
bool,capture,neon,multiversioned,16384,ConstantLhs,PartialAccepted,54610.0,62280.0,55710.0,56050.0
bool,capture,neon,multiversioned,16384,ConstantRhs,AllValid,44510.0,52290.0,45540.0,45850.0
bool,capture,neon,multiversioned,16384,ConstantRhs,NullOnlyFailure,371800.0,419700.0,381100.0,381500.0
bool,capture,neon,multiversioned,16384,ConstantRhs,ObservableFailure,145500.0,155400.0,147800.0,148500.0
bool,capture,neon,multiversioned,16384,ConstantRhs,PartialAccepted,50820.0,60230.0,51990.0,52400.0
bool,capture,neon,plain,16384,Columns,AllValid,61670.0,92460.0,62980.0,63520.0
bool,capture,neon,plain,16384,Columns,NullOnlyFailure,384400.0,420600.0,393100.0,393100.0
bool,capture,neon,plain,16384,Columns,ObservableFailure,159600.0,195700.0,164400.0,164700.0
bool,capture,neon,plain,16384,Columns,PartialAccepted,68260.0,83930.0,69810.0,70320.0
bool,capture,neon,plain,16384,ConstantLhs,AllValid,48210.0,55990.0,49360.0,49680.0
bool,capture,neon,plain,16384,ConstantLhs,NullOnlyFailure,380600.0,405000.0,390900.0,390700.0
bool,capture,neon,plain,16384,ConstantLhs,ObservableFailure,149600.0,163000.0,153600.0,153900.0
bool,capture,neon,plain,16384,ConstantLhs,PartialAccepted,54620.0,70850.0,55800.0,56130.0
bool,capture,neon,plain,16384,ConstantRhs,AllValid,44450.0,53630.0,45660.0,45910.0
bool,capture,neon,plain,16384,ConstantRhs,NullOnlyFailure,371100.0,399400.0,381400.0,381700.0
bool,capture,neon,plain,16384,ConstantRhs,ObservableFailure,145500.0,170700.0,147800.0,148500.0
bool,capture,neon,plain,16384,ConstantRhs,PartialAccepted,51150.0,66180.0,52220.0,52590.0
bool,fixed,avx2,multiversioned,16384,Columns,AllValid,36880.0,57070.0,37360.0,38380.0
bool,fixed,avx2,multiversioned,16384,Columns,NullOnlyFailure,281800.0,343500.0,297500.0,297700.0
bool,fixed,avx2,multiversioned,16384,Columns,ObservableFailure,94160.0,110400.0,96040.0,96820.0
bool,fixed,avx2,multiversioned,16384,Columns,PartialAccepted,43010.0,57480.0,44530.0,44740.0
bool,fixed,avx2,multiversioned,16384,ConstantLhs,AllValid,28040.0,40530.0,28270.0,28820.0
bool,fixed,avx2,multiversioned,16384,ConstantLhs,NullOnlyFailure,284400.0,339800.0,292300.0,292900.0
bool,fixed,avx2,multiversioned,16384,ConstantLhs,ObservableFailure,84620.0,131000.0,85930.0,87450.0
bool,fixed,avx2,multiversioned,16384,ConstantLhs,PartialAccepted,34000.0,53830.0,34580.0,35410.0
bool,fixed,avx2,multiversioned,16384,ConstantRhs,AllValid,27790.0,44460.0,28050.0,28710.0
bool,fixed,avx2,multiversioned,16384,ConstantRhs,NullOnlyFailure,295900.0,358000.0,312600.0,312100.0
