family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
bool,after,avx2,multiversioned,64,Columns,AllValid,1079.0,8699.0,1173.0,1246.0
bool,after,avx2,multiversioned,64,Columns,NullOnlyFailure,9820.0,19860.0,10080.0,10310.0
bool,after,avx2,multiversioned,64,Columns,ObservableFailure,7975.0,17080.0,8148.0,8392.0
bool,after,avx2,multiversioned,64,Columns,PartialAccepted,1801.0,5865.0,1941.0,2015.0000000000002
bool,after,avx2,multiversioned,64,ConstantLhs,AllValid,1006.0,4778.0,1079.0,1123.0
bool,after,avx2,multiversioned,64,ConstantLhs,NullOnlyFailure,9847.0,20710.0,10090.0,10390.0
bool,after,avx2,multiversioned,64,ConstantLhs,ObservableFailure,7989.0,14670.0,8132.999999999999,8309.0
bool,after,avx2,multiversioned,64,ConstantLhs,PartialAccepted,1864.0,10490.0,2051.0,2150.0
bool,after,avx2,multiversioned,64,ConstantRhs,AllValid,998.5,4426.0,1070.0,1123.0
bool,after,avx2,multiversioned,64,ConstantRhs,NullOnlyFailure,9744.0,18150.0,10040.0,10290.0
bool,after,avx2,multiversioned,64,ConstantRhs,ObservableFailure,7942.0,16900.0,8108.000000000001,8332.0
bool,after,avx2,multiversioned,64,ConstantRhs,PartialAccepted,1857.0,9027.0,2041.0,2116.0
bool,after,avx2,multiversioned,16384,Columns,AllValid,44280.0,60110.0,51570.0,51790.0
bool,after,avx2,multiversioned,16384,Columns,NullOnlyFailure,74470.0,140600.0,81950.0,82130.0
bool,after,avx2,multiversioned,16384,Columns,ObservableFailure,49470.0,68620.0,58540.0,58730.0
bool,after,avx2,multiversioned,16384,Columns,PartialAccepted,44730.0,63800.0,51780.0,51870.0
bool,after,avx2,multiversioned,16384,ConstantLhs,AllValid,42310.0,60280.0,51660.0,51870.0
bool,after,avx2,multiversioned,16384,ConstantLhs,NullOnlyFailure,76450.0,101000.0,85110.0,85420.0
bool,after,avx2,multiversioned,16384,ConstantLhs,ObservableFailure,49400.0,69430.0,58780.0,58980.0
bool,after,avx2,multiversioned,16384,ConstantLhs,PartialAccepted,43530.0,101600.0,52450.0,52210.0
bool,after,avx2,multiversioned,16384,ConstantRhs,AllValid,47250.0,89670.0,51810.0,52090.0
bool,after,avx2,multiversioned,16384,ConstantRhs,NullOnlyFailure,75050.0,131500.0,83610.0,83960.0
bool,after,avx2,multiversioned,16384,ConstantRhs,ObservableFailure,51450.0,69900.0,58900.0,59000.0
bool,after,avx2,multiversioned,16384,ConstantRhs,PartialAccepted,44450.0,62380.0,52160.0,52310.0
bool,after,avx2,plain,64,Columns,AllValid,857.8,7158.0,905.0,939.8
bool,after,avx2,plain,64,Columns,NullOnlyFailure,9719.0,22240.0,10000.0,10250.0
bool,after,avx2,plain,64,Columns,ObservableFailure,7875.0,16170.000000000002,8022.0,8235.0
bool,after,avx2,plain,64,Columns,PartialAccepted,1662.0,5408.0,1779.0,1828.0
bool,after,avx2,plain,64,ConstantLhs,AllValid,851.0,26680.0,898.5,948.8
bool,after,avx2,plain,64,ConstantLhs,NullOnlyFailure,9742.0,19280.0,9994.0,10230.0
bool,after,avx2,plain,64,ConstantLhs,ObservableFailure,7867.0,16570.0,8039.999999999999,8235.0
