family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
utf8,after,avx2,decode,8192,External,AllValid,154800.0,200500.0,182800.0,182400.0
utf8,after,avx2,decode,8192,External,OneNullInEight,150300.0,172400.0,160300.0,161000.0
utf8,after,avx2,decode,8192,Inline,AllValid,112400.0,129000.0,112800.0,114000.0
utf8,after,avx2,decode,8192,Inline,OneNullInEight,89320.0,110500.0,95240.0,96310.0
utf8,after,avx512,decode,8192,External,AllValid,167200.0,201000.0,177100.0,177900.0
utf8,after,avx512,decode,8192,External,OneNullInEight,157800.0,187200.0,165100.0,165800.0
utf8,after,avx512,decode,8192,Inline,AllValid,83030.0,127500.0,109400.0,109600.0
utf8,after,avx512,decode,8192,Inline,OneNullInEight,80850.0,112900.0,101100.0,96210.0
utf8,after,neon,decode,8192,External,AllValid,112600.0,134500.0,112800.0,114100.0
utf8,after,neon,decode,8192,External,OneNullInEight,114300.0,158700.0,115200.0,116300.0
utf8,after,neon,decode,8192,Inline,AllValid,53730.0,77090.0,53760.0,54150.0
utf8,after,neon,decode,8192,Inline,OneNullInEight,59670.0,82340.0,60800.0,61090.0
utf8,before,avx2,decode,8192,External,AllValid,166300.0,189400.0,176500.0,176100.0
utf8,before,avx2,decode,8192,External,OneNullInEight,145900.0,180400.0,154000.0,155200.0
utf8,before,avx2,decode,8192,Inline,AllValid,102900.0,115900.0,106300.0,107400.0
utf8,before,avx2,decode,8192,Inline,OneNullInEight,95120.0,112100.0,98180.0,99690.0
utf8,before,avx512,decode,8192,External,AllValid,171100.0,204600.0,179700.0,180200.0
utf8,before,avx512,decode,8192,External,OneNullInEight,152800.0,189500.0,156800.0,158500.0
utf8,before,avx512,decode,8192,Inline,AllValid,93830.0,133900.0,116600.0,117600.0
utf8,before,avx512,decode,8192,Inline,OneNullInEight,84530.0,125300.0,107500.0,107600.0
utf8,before,neon,decode,8192,External,AllValid,112000.0,136300.0,113400.0,114100.0
utf8,before,neon,decode,8192,External,OneNullInEight,115800.0,143300.0,116900.0,117900.0
utf8,before,neon,decode,8192,Inline,AllValid,54020.0,60390.0,54100.0,54710.0
utf8,before,neon,decode,8192,Inline,OneNullInEight,61260.0,72190.0,61760.0,62550.0
