case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,1024,2695.679
cosine_w2_c0,1024,1,1024,2790.364
cosine_w2_c0,1024,2,1024,2640.218
cosine_w2_c0,1024,3,1024,2682.739
cosine_w2_c0,1024,4,1024,2678.101
cosine_w2_c0,1024,5,1024,2769.491
cosine_w2_c0,1024,6,1024,2667.562
cosine_w2_c0,1024,7,1024,2672.281
cosine_w2_c0,1024,8,1024,2672.892
cosine_w2_c0,1024,9,1024,2670.979
cosine_w2_c0,1024,10,1024,2668.660
cosine_w2_c0,1024,11,1024,2669.230
cosine_w2_c1,1024,0,1024,3365.967
cosine_w2_c1,1024,1,1024,3466.391
cosine_w2_c1,1024,2,1024,3395.752
cosine_w2_c1,1024,3,1024,3366.455
cosine_w2_c1,1024,4,1024,3363.810
cosine_w2_c1,1024,5,1024,3384.807
cosine_w2_c1,1024,6,1024,3365.275
cosine_w2_c1,1024,7,1024,3385.050
cosine_w2_c1,1024,8,1024,3354.167
cosine_w2_c1,1024,9,1024,3353.353
cosine_w2_c1,1024,10,1024,3353.312
cosine_w2_c1,1024,11,1024,3495.279
cosine_w2_c2,1024,0,1024,3092.000
cosine_w2_c2,1024,1,1024,3124.104
cosine_w2_c2,1024,2,1024,3078.125
cosine_w2_c2,1024,3,1024,3113.078
cosine_w2_c2,1024,4,1024,3181.355
cosine_w2_c2,1024,5,1024,3146.892
cosine_w2_c2,1024,6,1024,3100.993
cosine_w2_c2,1024,7,1024,3088.663
cosine_w2_c2,1024,8,1024,3160.156
cosine_w2_c2,1024,9,1024,3096.558
cosine_w2_c2,1024,10,1024,3053.386
cosine_w2_c2,1024,11,1024,3128.702
cosine_w32_c0,1024,0,256,14803.875
cosine_w32_c0,1024,1,256,14968.586
cosine_w32_c0,1024,2,256,15193.848
cosine_w32_c0,1024,3,256,15134.930
cosine_w32_c0,1024,4,256,15176.430
cosine_w32_c0,1024,5,256,15745.770
cosine_w32_c0,1024,6,256,15905.273
cosine_w32_c0,1024,7,256,16029.949
cosine_w32_c0,1024,8,256,15989.094
cosine_w32_c0,1024,9,256,15290.688
cosine_w32_c0,1024,10,256,15175.617
cosine_w32_c0,1024,11,256,15290.852
cosine_w32_c1,1024,0,128,17100.266
cosine_w32_c1,1024,1,128,16304.688
cosine_w32_c1,1024,2,128,16344.727
cosine_w32_c1,1024,3,128,16307.289
cosine_w32_c1,1024,4,128,16278.969
cosine_w32_c1,1024,5,128,16578.445
cosine_w32_c1,1024,6,128,16333.008
cosine_w32_c1,1024,7,128,16224.289
cosine_w32_c1,1024,8,128,16326.500
cosine_w32_c1,1024,9,128,16224.938
cosine_w32_c1,1024,10,128,16512.047
cosine_w32_c1,1024,11,128,16224.289
cosine_w32_c2,1024,0,256,15858.398
cosine_w32_c2,1024,1,256,15962.891
cosine_w32_c2,1024,2,256,16061.363
cosine_w32_c2,1024,3,256,16058.594
cosine_w32_c2,1024,4,256,16620.934
cosine_w32_c2,1024,5,256,16004.719
cosine_w32_c2,1024,6,256,16100.098
cosine_w32_c2,1024,7,256,16530.109
cosine_w32_c2,1024,8,256,16185.547
cosine_w32_c2,1024,9,256,16220.055
cosine_w32_c2,1024,10,256,16650.230
cosine_w32_c2,1024,11,256,16114.746
cosine_w256_c0,1024,0,8,232442.625
cosine_w256_c0,1024,1,8,256953.125
cosine_w256_c0,1024,2,8,250114.625
cosine_w256_c0,1024,3,8,256338.625
cosine_w256_c0,1024,4,8,231687.500
cosine_w256_c0,1024,5,8,231406.250
cosine_w256_c0,1024,6,8,236046.875
cosine_w256_c0,1024,7,8,239765.625
cosine_w256_c0,1024,8,8,234213.625
cosine_w256_c0,1024,9,8,231546.875
cosine_w256_c0,1024,10,8,239135.500
cosine_w256_c0,1024,11,8,231317.750
cosine_w256_c1,1024,0,16,237450.500
cosine_w256_c1,1024,1,16,237041.625
cosine_w256_c1,1024,2,16,240833.312
cosine_w256_c1,1024,3,16,237104.188
cosine_w256_c1,1024,4,16,240257.812
cosine_w256_c1,1024,5,16,251294.312
cosine_w256_c1,1024,6,16,236757.812
cosine_w256_c1,1024,7,16,237398.438
cosine_w256_c1,1024,8,16,236604.125
cosine_w256_c1,1024,9,16,236322.938
cosine_w256_c1,1024,10,16,236351.562
cosine_w256_c1,1024,11,16,240447.938
cosine_w256_c2,1024,0,8,236224.000
cosine_w256_c2,1024,1,8,236380.250
cosine_w256_c2,1024,2,8,235828.125
cosine_w256_c2,1024,3,8,236083.375
cosine_w256_c2,1024,4,8,244135.500
cosine_w256_c2,1024,5,8,236005.125
cosine_w256_c2,1024,6,8,235791.750
cosine_w256_c2,1024,7,8,236067.750
cosine_w256_c2,1024,8,8,242442.625
cosine_w256_c2,1024,9,8,237828.125
cosine_w256_c2,1024,10,8,256760.375
cosine_w256_c2,1024,11,8,241250.000
