case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,1024,2956.787
cosine_w2_c0,1024,1,1024,2940.226
cosine_w2_c0,1024,2,1024,3073.894
cosine_w2_c0,1024,3,1024,2939.046
cosine_w2_c0,1024,4,1024,2929.484
cosine_w2_c0,1024,5,1024,2984.985
cosine_w2_c0,1024,6,1024,2911.947
cosine_w2_c0,1024,7,1024,2910.563
cosine_w2_c0,1024,8,1024,2950.562
cosine_w2_c0,1024,9,1024,2927.531
cosine_w2_c0,1024,10,1024,2948.202
cosine_w2_c0,1024,11,1024,2923.665
cosine_w2_c1,1024,0,1024,2946.899
cosine_w2_c1,1024,1,1024,2832.764
cosine_w2_c1,1024,2,1024,2835.530
cosine_w2_c1,1024,3,1024,2831.259
cosine_w2_c1,1024,4,1024,2830.119
cosine_w2_c1,1024,5,1024,2827.475
cosine_w2_c1,1024,6,1024,2827.474
cosine_w2_c1,1024,7,1024,2826.334
cosine_w2_c1,1024,8,1024,2854.939
cosine_w2_c1,1024,9,1024,2855.631
cosine_w2_c1,1024,10,1024,2834.554
cosine_w2_c1,1024,11,1024,2829.346
cosine_w2_c2,1024,0,1024,3084.961
cosine_w2_c2,1024,1,1024,3086.955
cosine_w2_c2,1024,2,1024,3080.852
cosine_w2_c2,1024,3,1024,3089.600
cosine_w2_c2,1024,4,1024,3112.224
cosine_w2_c2,1024,5,1024,3156.575
cosine_w2_c2,1024,6,1024,3114.950
cosine_w2_c2,1024,7,1024,3253.662
cosine_w2_c2,1024,8,1024,3099.976
cosine_w2_c2,1024,9,1024,3025.188
cosine_w2_c2,1024,10,1024,3065.877
cosine_w2_c2,1024,11,1024,2996.866
cosine_w32_c0,1024,0,256,15334.637
cosine_w32_c0,1024,1,256,15364.422
cosine_w32_c0,1024,2,256,15234.863
cosine_w32_c0,1024,3,256,15760.254
cosine_w32_c0,1024,4,256,15230.629
cosine_w32_c0,1024,5,256,15281.574
cosine_w32_c0,1024,6,256,15292.969
cosine_w32_c0,1024,7,256,15257.977
cosine_w32_c0,1024,8,256,15394.207
cosine_w32_c0,1024,9,256,15396.645
cosine_w32_c0,1024,10,256,15266.602
cosine_w32_c0,1024,11,256,15631.184
cosine_w32_c1,1024,0,256,11921.062
cosine_w32_c1,1024,1,256,11933.266
cosine_w32_c1,1024,2,256,11945.965
cosine_w32_c1,1024,3,256,11918.621
cosine_w32_c1,1024,4,256,12463.215
cosine_w32_c1,1024,5,256,12004.395
cosine_w32_c1,1024,6,256,11974.934
cosine_w32_c1,1024,7,256,12143.719
cosine_w32_c1,1024,8,256,12478.680
cosine_w32_c1,1024,9,256,11950.848
cosine_w32_c1,1024,10,256,11983.074
cosine_w32_c1,1024,11,256,12236.980
cosine_w32_c2,1024,0,256,12103.027
cosine_w32_c2,1024,1,256,12057.941
cosine_w32_c2,1024,2,256,12008.137
cosine_w32_c2,1024,3,256,12393.066
cosine_w32_c2,1024,4,256,12049.316
cosine_w32_c2,1024,5,256,11888.672
cosine_w32_c2,1024,6,256,11712.730
cosine_w32_c2,1024,7,256,11845.375
cosine_w32_c2,1024,8,256,11940.266
cosine_w32_c2,1024,9,256,11983.562
cosine_w32_c2,1024,10,256,11998.047
cosine_w32_c2,1024,11,256,12068.684
cosine_w256_c0,1024,0,16,248617.188
cosine_w256_c0,1024,1,16,233237.000
cosine_w256_c0,1024,2,16,237096.375
cosine_w256_c0,1024,3,16,235838.562
cosine_w256_c0,1024,4,16,231518.250
cosine_w256_c0,1024,5,16,237031.250
cosine_w256_c0,1024,6,16,241010.438
cosine_w256_c0,1024,7,16,231809.938
cosine_w256_c0,1024,8,16,232882.812
cosine_w256_c0,1024,9,16,231648.438
cosine_w256_c0,1024,10,16,232065.125
cosine_w256_c0,1024,11,16,235606.750
cosine_w256_c1,1024,0,16,162265.625
cosine_w256_c1,1024,1,16,163526.062
cosine_w256_c1,1024,2,16,177679.688
cosine_w256_c1,1024,3,16,164257.812
cosine_w256_c1,1024,4,16,162380.250
cosine_w256_c1,1024,5,16,160653.688
cosine_w256_c1,1024,6,16,163940.125
cosine_w256_c1,1024,7,16,166255.188
cosine_w256_c1,1024,8,16,161427.062
cosine_w256_c1,1024,9,16,161171.875
cosine_w256_c1,1024,10,16,165088.500
cosine_w256_c1,1024,11,16,163320.312
cosine_w256_c2,1024,0,16,164161.438
cosine_w256_c2,1024,1,16,176765.625
cosine_w256_c2,1024,2,16,163335.938
cosine_w256_c2,1024,3,16,163239.625
cosine_w256_c2,1024,4,16,164260.375
cosine_w256_c2,1024,5,16,163932.312
cosine_w256_c2,1024,6,16,170408.812
cosine_w256_c2,1024,7,16,164630.250
cosine_w256_c2,1024,8,16,164132.812
cosine_w256_c2,1024,9,16,168953.125
cosine_w256_c2,1024,10,16,165880.250
cosine_w256_c2,1024,11,16,163083.312
