case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,1024,2675.619
cosine_w2_c0,1024,1,1024,2674.031
cosine_w2_c0,1024,2,1024,2666.585
cosine_w2_c0,1024,3,1024,2663.940
cosine_w2_c0,1024,4,1024,2667.439
cosine_w2_c0,1024,5,1024,2698.323
cosine_w2_c0,1024,6,1024,2671.997
cosine_w2_c0,1024,7,1024,2669.719
cosine_w2_c0,1024,8,1024,2696.614
cosine_w2_c0,1024,9,1024,2665.446
cosine_w2_c0,1024,10,1024,2720.825
cosine_w2_c0,1024,11,1024,2667.887
cosine_w2_c1,1024,0,1024,3396.524
cosine_w2_c1,1024,1,1024,3367.920
cosine_w2_c1,1024,2,1024,3372.884
cosine_w2_c1,1024,3,1024,3354.370
cosine_w2_c1,1024,4,1024,3335.205
cosine_w2_c1,1024,5,1024,3340.820
cosine_w2_c1,1024,6,1024,3348.551
cosine_w2_c1,1024,7,1024,3363.403
cosine_w2_c1,1024,8,1024,3333.659
cosine_w2_c1,1024,9,1024,3333.089
cosine_w2_c1,1024,10,1024,3396.037
cosine_w2_c1,1024,11,1024,3390.219
cosine_w2_c2,1024,0,1024,3078.979
cosine_w2_c2,1024,1,1024,3088.827
cosine_w2_c2,1024,2,1024,3095.500
cosine_w2_c2,1024,3,1024,3080.240
cosine_w2_c2,1024,4,1024,3083.130
cosine_w2_c2,1024,5,1024,3079.306
cosine_w2_c2,1024,6,1024,3084.635
cosine_w2_c2,1024,7,1024,3106.648
cosine_w2_c2,1024,8,1024,3201.416
cosine_w2_c2,1024,9,1024,3132.935
cosine_w2_c2,1024,10,1024,3122.232
cosine_w2_c2,1024,11,1024,3179.239
cosine_w32_c0,1024,0,256,15429.035
cosine_w32_c0,1024,1,256,15682.129
cosine_w32_c0,1024,2,256,15425.781
cosine_w32_c0,1024,3,256,15571.613
cosine_w32_c0,1024,4,256,15432.453
cosine_w32_c0,1024,5,256,15411.781
cosine_w32_c0,1024,6,256,15534.016
cosine_w32_c0,1024,7,256,14845.055
cosine_w32_c0,1024,8,256,15110.023
cosine_w32_c0,1024,9,256,15336.426
cosine_w32_c0,1024,10,256,15354.816
cosine_w32_c0,1024,11,256,15374.188
cosine_w32_c1,1024,0,128,16400.711
cosine_w32_c1,1024,1,128,16424.477
cosine_w32_c1,1024,2,128,16564.781
cosine_w32_c1,1024,3,128,16506.836
cosine_w32_c1,1024,4,128,17220.703
cosine_w32_c1,1024,5,128,15920.250
cosine_w32_c1,1024,6,128,15673.172
cosine_w32_c1,1024,7,128,16882.812
cosine_w32_c1,1024,8,128,16144.203
cosine_w32_c1,1024,9,128,16289.062
cosine_w32_c1,1024,10,128,15551.758
cosine_w32_c1,1024,11,128,16279.945
cosine_w32_c2,1024,0,128,16365.562
cosine_w32_c2,1024,1,128,16486.648
cosine_w32_c2,1024,2,128,17274.742
cosine_w32_c2,1024,3,128,16459.312
cosine_w32_c2,1024,4,128,16403.000
cosine_w32_c2,1024,5,128,16352.867
cosine_w32_c2,1024,6,128,16443.031
cosine_w32_c2,1024,7,128,16921.547
cosine_w32_c2,1024,8,128,16597.977
cosine_w32_c2,1024,9,128,16405.602
cosine_w32_c2,1024,10,128,16421.875
cosine_w32_c2,1024,11,128,16382.484
cosine_w256_c0,1024,0,16,251315.062
cosine_w256_c0,1024,1,16,235143.250
cosine_w256_c0,1024,2,16,234643.188
cosine_w256_c0,1024,3,16,237562.500
cosine_w256_c0,1024,4,16,233208.375
cosine_w256_c0,1024,5,16,235585.938
cosine_w256_c0,1024,6,16,243104.188
cosine_w256_c0,1024,7,16,239375.000
cosine_w256_c0,1024,8,16,239033.875
cosine_w256_c0,1024,9,16,246929.688
cosine_w256_c0,1024,10,16,240700.500
cosine_w256_c0,1024,11,16,240690.125
cosine_w256_c1,1024,0,16,246906.250
cosine_w256_c1,1024,1,16,245312.500
cosine_w256_c1,1024,2,16,248393.188
cosine_w256_c1,1024,3,16,245960.938
cosine_w256_c1,1024,4,16,246940.125
cosine_w256_c1,1024,5,16,244867.188
cosine_w256_c1,1024,6,16,235973.938
cosine_w256_c1,1024,7,16,237294.312
cosine_w256_c1,1024,8,16,243106.750
cosine_w256_c1,1024,9,16,248403.625
cosine_w256_c1,1024,10,16,243682.312
cosine_w256_c1,1024,11,16,247078.125
cosine_w256_c2,1024,0,8,247057.250
cosine_w256_c2,1024,1,8,249968.750
cosine_w256_c2,1024,2,8,246932.250
cosine_w256_c2,1024,3,8,248052.125
cosine_w256_c2,1024,4,8,255276.125
cosine_w256_c2,1024,5,8,250489.625
cosine_w256_c2,1024,6,8,249333.250
cosine_w256_c2,1024,7,8,246895.875
cosine_w256_c2,1024,8,8,249911.500
cosine_w256_c2,1024,9,8,250229.125
cosine_w256_c2,1024,10,8,264437.500
cosine_w256_c2,1024,11,8,253260.500
