case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,1024,2920.328
cosine_w2_c0,1024,1,1024,2917.928
cosine_w2_c0,1024,2,1024,2922.893
cosine_w2_c0,1024,3,1024,3018.474
cosine_w2_c0,1024,4,1024,2943.686
cosine_w2_c0,1024,5,1024,2960.571
cosine_w2_c0,1024,6,1024,2920.370
cosine_w2_c0,1024,7,1024,2918.335
cosine_w2_c0,1024,8,1024,2928.020
cosine_w2_c0,1024,9,1024,2964.926
cosine_w2_c0,1024,10,1024,2948.894
cosine_w2_c0,1024,11,1024,2922.485
cosine_w2_c1,1024,0,1024,3581.991
cosine_w2_c1,1024,1,1024,3598.430
cosine_w2_c1,1024,2,1024,3521.159
cosine_w2_c1,1024,3,1024,3572.103
cosine_w2_c1,1024,4,1024,3593.424
cosine_w2_c1,1024,5,1024,3597.453
cosine_w2_c1,1024,6,1024,3589.519
cosine_w2_c1,1024,7,1024,3588.176
cosine_w2_c1,1024,8,1024,3584.961
cosine_w2_c1,1024,9,1024,3584.921
cosine_w2_c1,1024,10,1024,3547.445
cosine_w2_c1,1024,11,1024,3553.996
cosine_w2_c2,1024,0,1024,3452.759
cosine_w2_c2,1024,1,1024,3335.124
cosine_w2_c2,1024,2,1024,3343.912
cosine_w2_c2,1024,3,1024,3334.146
cosine_w2_c2,1024,4,1024,3329.671
cosine_w2_c2,1024,5,1024,3326.782
cosine_w2_c2,1024,6,1024,3354.289
cosine_w2_c2,1024,7,1024,3330.974
cosine_w2_c2,1024,8,1024,3327.759
cosine_w2_c2,1024,9,1024,3327.474
cosine_w2_c2,1024,10,1024,3388.144
cosine_w2_c2,1024,11,1024,3327.312
cosine_w32_c0,1024,0,128,15314.133
cosine_w32_c0,1024,1,128,15368.164
cosine_w32_c0,1024,2,128,15349.609
cosine_w32_c0,1024,3,128,15372.719
cosine_w32_c0,1024,4,128,15690.102
cosine_w32_c0,1024,5,128,15330.406
cosine_w32_c0,1024,6,128,15338.539
cosine_w32_c0,1024,7,128,15409.836
cosine_w32_c0,1024,8,128,15440.102
cosine_w32_c0,1024,9,128,14978.844
cosine_w32_c0,1024,10,128,15258.141
cosine_w32_c0,1024,11,128,15245.445
cosine_w32_c1,1024,0,256,11717.938
cosine_w32_c1,1024,1,256,11714.520
cosine_w32_c1,1024,2,256,11713.539
cosine_w32_c1,1024,3,256,11811.035
cosine_w32_c1,1024,4,256,11706.215
cosine_w32_c1,1024,5,256,11747.395
cosine_w32_c1,1024,6,256,11769.367
cosine_w32_c1,1024,7,256,11782.555
cosine_w32_c1,1024,8,256,11724.121
cosine_w32_c1,1024,9,256,11715.820
cosine_w32_c1,1024,10,256,11724.449
cosine_w32_c1,1024,11,256,11740.887
cosine_w32_c2,1024,0,256,11870.770
cosine_w32_c2,1024,1,256,11757.648
cosine_w32_c2,1024,2,256,11768.066
cosine_w32_c2,1024,3,256,11770.020
cosine_w32_c2,1024,4,256,11907.551
cosine_w32_c2,1024,5,256,11759.277
cosine_w32_c2,1024,6,256,11772.785
cosine_w32_c2,1024,7,256,12196.453
cosine_w32_c2,1024,8,256,11875.977
cosine_w32_c2,1024,9,256,12240.723
cosine_w32_c2,1024,10,256,11417.805
cosine_w32_c2,1024,11,256,11790.852
cosine_w256_c0,1024,0,16,244187.500
cosine_w256_c0,1024,1,16,244908.812
cosine_w256_c0,1024,2,16,249580.750
cosine_w256_c0,1024,3,16,244906.250
cosine_w256_c0,1024,4,16,245062.500
cosine_w256_c0,1024,5,16,249645.812
cosine_w256_c0,1024,6,16,245531.250
cosine_w256_c0,1024,7,16,247325.500
cosine_w256_c0,1024,8,16,256588.562
cosine_w256_c0,1024,9,16,256651.062
cosine_w256_c0,1024,10,16,249958.312
cosine_w256_c0,1024,11,16,245382.812
cosine_w256_c1,1024,0,16,182632.812
cosine_w256_c1,1024,1,16,159781.250
cosine_w256_c1,1024,2,16,159627.625
cosine_w256_c1,1024,3,16,159734.375
cosine_w256_c1,1024,4,16,159799.438
cosine_w256_c1,1024,5,16,161474.000
cosine_w256_c1,1024,6,16,164007.812
cosine_w256_c1,1024,7,16,163302.125
cosine_w256_c1,1024,8,16,168911.438
cosine_w256_c1,1024,9,16,165143.188
cosine_w256_c1,1024,10,16,165393.250
cosine_w256_c1,1024,11,16,167583.375
cosine_w256_c2,1024,0,16,167088.562
cosine_w256_c2,1024,1,16,165864.625
cosine_w256_c2,1024,2,16,166182.250
cosine_w256_c2,1024,3,16,166861.938
cosine_w256_c2,1024,4,16,165979.125
cosine_w256_c2,1024,5,16,167075.500
cosine_w256_c2,1024,6,16,166729.188
cosine_w256_c2,1024,7,16,169203.125
cosine_w256_c2,1024,8,16,168830.750
cosine_w256_c2,1024,9,16,166934.875
cosine_w256_c2,1024,10,16,166692.688
cosine_w256_c2,1024,11,16,169153.688
