case,rows,sample,iterations,ns
discarded_error_construct,64,0,256,10200.859
discarded_error_outer_instrumented,64,0,256,10923.988
discarded_error_construct,64,1,256,10421.562
discarded_error_outer_instrumented,64,1,256,11169.594
discarded_error_construct,64,2,256,10353.828
discarded_error_outer_instrumented,64,2,256,11094.074
discarded_error_construct,64,3,256,10527.531
discarded_error_outer_instrumented,64,3,256,11278.973
discarded_error_construct,64,4,256,10497.734
discarded_error_outer_instrumented,64,4,256,11249.672
discarded_error_construct,64,5,256,10529.301
discarded_error_outer_instrumented,64,5,256,11278.809
discarded_error_construct,64,6,256,10504.699
discarded_error_outer_instrumented,64,6,256,11256.836
discarded_error_construct,64,7,256,10521.258
discarded_error_outer_instrumented,64,7,256,11268.066
discarded_error_construct,64,8,256,10525.395
discarded_error_outer_instrumented,64,8,256,11274.742
discarded_error_construct,64,9,256,10833.965
discarded_error_outer_instrumented,64,9,256,11604.656
discarded_error_construct,64,10,256,10512.234
discarded_error_outer_instrumented,64,10,256,11280.762
discarded_error_construct,64,11,256,9855.504
discarded_error_outer_instrumented,64,11,256,10560.059
