case,rows,sample,iterations,ns
discarded_error_construct,64,0,256,22.125
discarded_error_outer_instrumented,64,0,256,703.125
discarded_error_construct,64,1,256,24.055
discarded_error_outer_instrumented,64,1,256,776.367
discarded_error_construct,64,2,256,25.406
discarded_error_outer_instrumented,64,2,256,770.508
discarded_error_construct,64,3,256,27.367
discarded_error_outer_instrumented,64,3,256,774.738
discarded_error_construct,64,4,256,24.254
discarded_error_outer_instrumented,64,4,256,761.559
discarded_error_construct,64,5,256,26.551
discarded_error_outer_instrumented,64,5,256,758.465
discarded_error_construct,64,6,256,25.191
discarded_error_outer_instrumented,64,6,256,753.742
discarded_error_construct,64,7,256,24.730
discarded_error_outer_instrumented,64,7,256,775.066
discarded_error_construct,64,8,256,25.383
discarded_error_outer_instrumented,64,8,256,766.277
discarded_error_construct,64,9,256,24.711
discarded_error_outer_instrumented,64,9,256,765.137
discarded_error_construct,64,10,256,23.117
discarded_error_outer_instrumented,64,10,256,748.375
discarded_error_construct,64,11,256,23.910
discarded_error_outer_instrumented,64,11,256,661.945
