case,rows,sample,iterations,ns
invocation_rowfn,0,0,16384,189.758
invocation_rowfn,0,1,16384,182.312
invocation_rowfn,0,2,16384,186.203
invocation_rowfn,0,3,16384,194.349
invocation_rowfn,0,4,16384,180.827
invocation_rowfn,0,5,16384,189.130
invocation_rowfn,0,6,16384,182.175
invocation_rowfn,0,7,16384,195.699
invocation_rowfn,0,8,16384,196.302
invocation_rowfn,0,9,16384,179.212
invocation_rowfn,0,10,16384,183.792
invocation_rowfn,0,11,16384,191.549
invocation_fresh_args,0,0,16384,183.876
invocation_fresh_args,0,1,16384,187.792
invocation_fresh_args,0,2,16384,197.968
invocation_fresh_args,0,3,16384,179.441
invocation_fresh_args,0,4,16384,183.843
invocation_fresh_args,0,5,16384,202.115
invocation_fresh_args,0,6,16384,176.786
invocation_fresh_args,0,7,16384,184.929
invocation_fresh_args,0,8,16384,192.462
invocation_fresh_args,0,9,16384,192.088
invocation_fresh_args,0,10,16384,199.949
invocation_fresh_args,0,11,16384,171.407
invocation_direct_collector,0,0,65536,61.486
invocation_direct_collector,0,1,65536,63.862
invocation_direct_collector,0,2,65536,62.607
invocation_direct_collector,0,3,65536,62.487
invocation_direct_collector,0,4,65536,62.630
invocation_direct_collector,0,5,65536,60.406
invocation_direct_collector,0,6,65536,57.798
invocation_direct_collector,0,7,65536,61.449
invocation_direct_collector,0,8,65536,62.618
invocation_direct_collector,0,9,65536,61.364
invocation_direct_collector,0,10,65536,59.640
invocation_direct_collector,0,11,65536,62.941
invocation_direct_iterator,0,0,65536,58.131
invocation_direct_iterator,0,1,65536,62.342
invocation_direct_iterator,0,2,65536,62.026
invocation_direct_iterator,0,3,65536,64.130
invocation_direct_iterator,0,4,65536,57.889
invocation_direct_iterator,0,5,65536,60.277
invocation_direct_iterator,0,6,65536,60.740
invocation_direct_iterator,0,7,65536,67.006
invocation_direct_iterator,0,8,65536,56.688
invocation_direct_iterator,0,9,65536,62.264
invocation_direct_iterator,0,10,65536,60.065
invocation_direct_iterator,0,11,65536,60.596
invocation_clone_drop,0,0,1048576,3.307
invocation_clone_drop,0,1,1048576,3.207
invocation_clone_drop,0,2,1048576,3.753
invocation_clone_drop,0,3,1048576,3.203
