case,rows,sample,iterations,ns
invocation_rowfn,0,0,16384,182.930
invocation_rowfn,0,1,16384,182.142
invocation_rowfn,0,2,16384,182.505
invocation_rowfn,0,3,16384,190.305
invocation_rowfn,0,4,16384,183.098
invocation_rowfn,0,5,16384,183.436
invocation_rowfn,0,6,16384,184.954
invocation_rowfn,0,7,16384,183.772
invocation_rowfn,0,8,16384,183.133
invocation_rowfn,0,9,16384,183.698
invocation_rowfn,0,10,16384,184.377
invocation_rowfn,0,11,16384,183.520
invocation_fresh_args,0,0,16384,187.658
invocation_fresh_args,0,1,16384,187.492
invocation_fresh_args,0,2,16384,188.774
invocation_fresh_args,0,3,16384,175.435
invocation_fresh_args,0,4,16384,182.691
invocation_fresh_args,0,5,16384,182.810
invocation_fresh_args,0,6,16384,185.305
invocation_fresh_args,0,7,16384,188.550
invocation_fresh_args,0,8,16384,185.254
invocation_fresh_args,0,9,16384,188.520
invocation_fresh_args,0,10,16384,185.003
invocation_fresh_args,0,11,16384,185.661
invocation_direct_collector,0,0,65536,60.259
invocation_direct_collector,0,1,65536,59.468
invocation_direct_collector,0,2,65536,59.931
invocation_direct_collector,0,3,65536,59.917
invocation_direct_collector,0,4,65536,59.865
invocation_direct_collector,0,5,65536,59.594
invocation_direct_collector,0,6,65536,59.935
invocation_direct_collector,0,7,65536,59.971
invocation_direct_collector,0,8,65536,61.546
invocation_direct_collector,0,9,65536,61.548
invocation_direct_collector,0,10,65536,61.799
invocation_direct_collector,0,11,65536,61.789
invocation_direct_iterator,0,0,32768,61.385
invocation_direct_iterator,0,1,32768,61.030
invocation_direct_iterator,0,2,32768,61.174
invocation_direct_iterator,0,3,32768,62.823
invocation_direct_iterator,0,4,32768,61.965
invocation_direct_iterator,0,5,32768,62.013
invocation_direct_iterator,0,6,32768,61.865
invocation_direct_iterator,0,7,32768,61.657
invocation_direct_iterator,0,8,32768,61.768
invocation_direct_iterator,0,9,32768,61.190
invocation_direct_iterator,0,10,32768,61.133
invocation_direct_iterator,0,11,32768,64.760
invocation_clone_drop,0,0,1048576,3.210
invocation_clone_drop,0,1,1048576,3.142
invocation_clone_drop,0,2,1048576,3.177
invocation_clone_drop,0,3,1048576,3.158
invocation_clone_drop,0,4,1048576,3.196
invocation_clone_drop,0,5,1048576,3.182
invocation_clone_drop,0,6,1048576,3.148
invocation_clone_drop,0,7,1048576,3.186
invocation_clone_drop,0,8,1048576,3.133
invocation_clone_drop,0,9,1048576,3.179
invocation_clone_drop,0,10,1048576,3.139
invocation_clone_drop,0,11,1048576,3.140
invocation_argument_storage,0,0,524288,4.463
invocation_argument_storage,0,1,524288,4.379
invocation_argument_storage,0,2,524288,4.391
invocation_argument_storage,0,3,524288,4.489
invocation_argument_storage,0,4,524288,4.495
invocation_argument_storage,0,5,524288,4.400
invocation_argument_storage,0,6,524288,4.404
invocation_argument_storage,0,7,524288,4.407
invocation_argument_storage,0,8,524288,4.394
invocation_argument_storage,0,9,524288,4.443
invocation_argument_storage,0,10,524288,4.395
invocation_argument_storage,0,11,524288,4.418
invocation_validate,0,0,4194304,0.509
invocation_validate,0,1,4194304,0.516
