case,rows,sample,iterations,ns
cosine_w1_c0,1024,0,256,6967.938
cosine_w1_c0,1024,1,256,7012.695
cosine_w1_c0,1024,2,256,6481.445
cosine_w1_c0,1024,3,256,6495.445
cosine_w1_c0,1024,4,256,6130.535
cosine_w1_c0,1024,5,256,5086.590
cosine_w1_c0,1024,6,256,5534.020
cosine_w1_c0,1024,7,256,5288.734
cosine_w1_c0,1024,8,256,5046.059
cosine_w1_c0,1024,9,256,5070.965
cosine_w1_c0,1024,10,256,5069.336
cosine_w1_c0,1024,11,256,5070.312
cosine_w1_c1,1024,0,512,5879.312
cosine_w1_c1,1024,1,512,5420.084
cosine_w1_c1,1024,2,512,4980.713
cosine_w1_c1,1024,3,512,4973.145
cosine_w1_c1,1024,4,512,4932.373
cosine_w1_c1,1024,5,512,4537.678
cosine_w1_c1,1024,6,512,4398.682
cosine_w1_c1,1024,7,512,4208.008
cosine_w1_c1,1024,8,512,4212.564
cosine_w1_c1,1024,9,512,4208.820
cosine_w1_c1,1024,10,512,4018.391
cosine_w1_c1,1024,11,512,3942.709
cosine_w1_c2,1024,0,1024,3215.454
cosine_w1_c2,1024,1,1024,3091.350
cosine_w1_c2,1024,2,1024,2969.563
cosine_w1_c2,1024,3,1024,2952.962
cosine_w1_c2,1024,4,1024,2940.430
cosine_w1_c2,1024,5,1024,2933.757
cosine_w1_c2,1024,6,1024,2951.741
cosine_w1_c2,1024,7,1024,2924.561
cosine_w1_c2,1024,8,1024,2951.945
cosine_w1_c2,1024,9,1024,2971.436
cosine_w1_c2,1024,10,1024,2936.157
cosine_w1_c2,1024,11,1024,2939.941
cosine_w2_c0,1024,0,1024,2669.026
cosine_w2_c0,1024,1,1024,2668.904
cosine_w2_c0,1024,2,1024,2665.609
cosine_w2_c0,1024,3,1024,2667.766
cosine_w2_c0,1024,4,1024,2668.498
cosine_w2_c0,1024,5,1024,2677.979
cosine_w2_c0,1024,6,1024,2668.172
cosine_w2_c0,1024,7,1024,2707.683
cosine_w2_c0,1024,8,1024,2671.672
cosine_w2_c0,1024,9,1024,2673.828
cosine_w2_c0,1024,10,1024,2673.421
cosine_w2_c0,1024,11,1024,2689.860
cosine_w2_c1,1024,0,1024,3598.511
cosine_w2_c1,1024,1,1024,3595.622
cosine_w2_c1,1024,2,1024,3589.803
cosine_w2_c1,1024,3,1024,3624.797
cosine_w2_c1,1024,4,1024,3622.884
cosine_w2_c1,1024,5,1024,3599.203
cosine_w2_c1,1024,6,1024,3663.005
cosine_w2_c1,1024,7,1024,3627.726
cosine_w2_c1,1024,8,1024,3636.719
cosine_w2_c1,1024,9,1024,3602.865
cosine_w2_c1,1024,10,1024,3594.889
cosine_w2_c1,1024,11,1024,3592.204
cosine_w2_c2,1024,0,1024,3337.524
cosine_w2_c2,1024,1,1024,3334.065
cosine_w2_c2,1024,2,1024,3347.697
cosine_w2_c2,1024,3,1024,3332.642
cosine_w2_c2,1024,4,1024,3335.530
cosine_w2_c2,1024,5,1024,3359.944
cosine_w2_c2,1024,6,1024,3336.832
cosine_w2_c2,1024,7,1024,3375.528
cosine_w2_c2,1024,8,1024,3387.491
cosine_w2_c2,1024,9,1024,3350.952
cosine_w2_c2,1024,10,1024,3345.052
cosine_w2_c2,1024,11,1024,3368.652
cosine_w3_c0,1024,0,1024,3422.607
cosine_w3_c0,1024,1,1024,3419.759
cosine_w3_c0,1024,2,1024,3423.625
cosine_w3_c0,1024,3,1024,3453.573
cosine_w3_c0,1024,4,1024,3419.475
cosine_w3_c0,1024,5,1024,3423.014
cosine_w3_c0,1024,6,1024,3434.326
cosine_w3_c0,1024,7,1024,3432.373
cosine_w3_c0,1024,8,1024,3423.218
cosine_w3_c0,1024,9,1024,3433.878
cosine_w3_c0,1024,10,1024,3424.112
cosine_w3_c0,1024,11,1024,3426.595
cosine_w3_c1,1024,0,512,4354.736
cosine_w3_c1,1024,1,512,4370.117
cosine_w3_c1,1024,2,512,4359.213
cosine_w3_c1,1024,3,512,4364.746
cosine_w3_c1,1024,4,512,4463.215
cosine_w3_c1,1024,5,512,4607.666
cosine_w3_c1,1024,6,512,4402.508
cosine_w3_c1,1024,7,512,4337.240
cosine_w3_c1,1024,8,512,4386.312
cosine_w3_c1,1024,9,512,4440.350
cosine_w3_c1,1024,10,512,4382.324
cosine_w3_c1,1024,11,512,4371.094
cosine_w3_c2,1024,0,512,4353.680
cosine_w3_c2,1024,1,512,4179.850
cosine_w3_c2,1024,2,512,4140.951
cosine_w3_c2,1024,3,512,4239.420
cosine_w3_c2,1024,4,512,4121.826
cosine_w3_c2,1024,5,512,4198.648
cosine_w3_c2,1024,6,512,4135.904
cosine_w3_c2,1024,7,512,4120.199
cosine_w3_c2,1024,8,512,4122.965
cosine_w3_c2,1024,9,512,4126.545
cosine_w3_c2,1024,10,512,4121.582
cosine_w3_c2,1024,11,512,4121.012
cosine_w4_c0,1024,0,512,4691.162
cosine_w4_c0,1024,1,512,4751.221
cosine_w4_c0,1024,2,512,4715.576
cosine_w4_c0,1024,3,512,4767.822
cosine_w4_c0,1024,4,512,4710.125
cosine_w4_c0,1024,5,512,4708.170
cosine_w4_c0,1024,6,512,4725.830
cosine_w4_c0,1024,7,512,4742.920
cosine_w4_c0,1024,8,512,4708.172
cosine_w4_c0,1024,9,512,4712.402
cosine_w4_c0,1024,10,512,4692.301
cosine_w4_c0,1024,11,512,4690.594
cosine_w4_c1,1024,0,512,5216.715
cosine_w4_c1,1024,1,512,5163.818
cosine_w4_c1,1024,2,512,5154.217
cosine_w4_c1,1024,3,512,5155.355
cosine_w4_c1,1024,4,512,5154.785
cosine_w4_c1,1024,5,512,5181.721
cosine_w4_c1,1024,6,512,5155.680
cosine_w4_c1,1024,7,512,5185.871
cosine_w4_c1,1024,8,512,5152.752
cosine_w4_c1,1024,9,512,5160.156
cosine_w4_c1,1024,10,512,5154.215
cosine_w4_c1,1024,11,512,5155.680
cosine_w4_c2,1024,0,512,5680.664
cosine_w4_c2,1024,1,512,5666.422
cosine_w4_c2,1024,2,512,4924.561
cosine_w4_c2,1024,3,512,4944.254
cosine_w4_c2,1024,4,512,4917.236
cosine_w4_c2,1024,5,512,4922.281
cosine_w4_c2,1024,6,512,4914.062
cosine_w4_c2,1024,7,512,4927.652
cosine_w4_c2,1024,8,512,4913.330
cosine_w4_c2,1024,9,512,4918.295
cosine_w4_c2,1024,10,512,4913.250
cosine_w4_c2,1024,11,512,4913.330
cosine_w8_c0,1024,0,512,4199.137
cosine_w8_c0,1024,1,512,4186.117
cosine_w8_c0,1024,2,512,4216.064
cosine_w8_c0,1024,3,512,4323.648
cosine_w8_c0,1024,4,512,4304.035
cosine_w8_c0,1024,5,512,4187.582
cosine_w8_c0,1024,6,512,4225.912
cosine_w8_c0,1024,7,512,4206.869
cosine_w8_c0,1024,8,512,4196.939
cosine_w8_c0,1024,9,512,4190.104
cosine_w8_c0,1024,10,512,4186.279
cosine_w8_c0,1024,11,512,4186.361
cosine_w8_c1,1024,0,512,4650.797
cosine_w8_c1,1024,1,512,4636.148
cosine_w8_c1,1024,2,512,4635.334
cosine_w8_c1,1024,3,512,4641.438
cosine_w8_c1,1024,4,512,4659.912
cosine_w8_c1,1024,5,512,4639.322
cosine_w8_c1,1024,6,512,4639.975
cosine_w8_c1,1024,7,512,4659.912
cosine_w8_c1,1024,8,512,4854.086
cosine_w8_c1,1024,9,512,4666.422
cosine_w8_c1,1024,10,512,4659.424
cosine_w8_c1,1024,11,512,4613.119
cosine_w8_c2,1024,0,512,4691.812
cosine_w8_c2,1024,1,512,4590.006
cosine_w8_c2,1024,2,512,4663.982
cosine_w8_c2,1024,3,512,4578.857
cosine_w8_c2,1024,4,512,4617.514
cosine_w8_c2,1024,5,512,4616.699
cosine_w8_c2,1024,6,512,4597.168
cosine_w8_c2,1024,7,512,4581.461
cosine_w8_c2,1024,8,512,4572.348
cosine_w8_c2,1024,9,512,4599.771
cosine_w8_c2,1024,10,512,4573.242
cosine_w8_c2,1024,11,512,4579.102
cosine_w16_c0,1024,0,512,7420.004
cosine_w16_c0,1024,1,512,7544.842
cosine_w16_c0,1024,2,512,7502.768
cosine_w16_c0,1024,3,512,7400.146
cosine_w16_c0,1024,4,512,7436.523
cosine_w16_c0,1024,5,512,7392.902
cosine_w16_c0,1024,6,512,7400.879
cosine_w16_c0,1024,7,512,7469.727
cosine_w16_c0,1024,8,512,7387.857
cosine_w16_c0,1024,9,512,7395.182
cosine_w16_c0,1024,10,512,7414.389
cosine_w16_c0,1024,11,512,7388.508
cosine_w16_c1,1024,0,256,8047.688
cosine_w16_c1,1024,1,256,8046.227
cosine_w16_c1,1024,2,256,8052.898
cosine_w16_c1,1024,3,256,8092.445
cosine_w16_c1,1024,4,256,8381.023
cosine_w16_c1,1024,5,256,8156.574
cosine_w16_c1,1024,6,256,8045.246
cosine_w16_c1,1024,7,256,8041.668
cosine_w16_c1,1024,8,256,8226.727
cosine_w16_c1,1024,9,256,8072.754
cosine_w16_c1,1024,10,256,8148.766
cosine_w16_c1,1024,11,256,8076.500
cosine_w16_c2,1024,0,256,8055.176
cosine_w16_c2,1024,1,256,8058.758
cosine_w16_c2,1024,2,256,8040.039
cosine_w16_c2,1024,3,256,8071.125
cosine_w16_c2,1024,4,256,8053.387
cosine_w16_c2,1024,5,256,8056.477
cosine_w16_c2,1024,6,256,8162.598
cosine_w16_c2,1024,7,256,8053.059
cosine_w16_c2,1024,8,256,8041.016
cosine_w16_c2,1024,9,256,8053.711
cosine_w16_c2,1024,10,256,8040.688
cosine_w16_c2,1024,11,256,8057.617
cosine_w32_c0,1024,0,256,15451.660
cosine_w32_c0,1024,1,256,15453.289
cosine_w32_c0,1024,2,256,15475.586
cosine_w32_c0,1024,3,256,15578.941
cosine_w32_c0,1024,4,256,15460.285
cosine_w32_c0,1024,5,256,15480.793
cosine_w32_c0,1024,6,256,15517.414
cosine_w32_c0,1024,7,256,15456.219
cosine_w32_c0,1024,8,256,15447.918
cosine_w32_c0,1024,9,256,15453.289
cosine_w32_c0,1024,10,256,15528.484
cosine_w32_c0,1024,11,256,15546.711
cosine_w32_c1,1024,0,128,16342.773
cosine_w32_c1,1024,1,128,16429.359
cosine_w32_c1,1024,2,128,16321.617
cosine_w32_c1,1024,3,128,16322.266
cosine_w32_c1,1024,4,128,16315.750
cosine_w32_c1,1024,5,128,16454.422
cosine_w32_c1,1024,6,128,16359.695
cosine_w32_c1,1024,7,128,16331.711
cosine_w32_c1,1024,8,128,16358.719
cosine_w32_c1,1024,9,128,16328.773
cosine_w32_c1,1024,10,128,16298.180
cosine_w32_c1,1024,11,128,16564.133
cosine_w32_c2,1024,0,128,16348.953
cosine_w32_c2,1024,1,128,16666.016
cosine_w32_c2,1024,2,128,16905.922
cosine_w32_c2,1024,3,128,16319.016
cosine_w32_c2,1024,4,128,16495.117
cosine_w32_c2,1024,5,128,16354.820
cosine_w32_c2,1024,6,128,16378.258
cosine_w32_c2,1024,7,128,16295.898
cosine_w32_c2,1024,8,128,16335.609
cosine_w32_c2,1024,9,128,16355.797
cosine_w32_c2,1024,10,128,16350.586
cosine_w32_c2,1024,11,128,16605.789
cosine_w256_c0,1024,0,8,251786.375
cosine_w256_c0,1024,1,8,251963.500
cosine_w256_c0,1024,2,8,253546.875
cosine_w256_c0,1024,3,8,251854.125
cosine_w256_c0,1024,4,8,251875.000
cosine_w256_c0,1024,5,8,254698.000
cosine_w256_c0,1024,6,8,253541.625
cosine_w256_c0,1024,7,8,261557.375
cosine_w256_c0,1024,8,8,291552.125
cosine_w256_c0,1024,9,8,273114.625
cosine_w256_c0,1024,10,8,258265.625
cosine_w256_c0,1024,11,8,254432.375
cosine_w256_c1,1024,0,8,256765.625
cosine_w256_c1,1024,1,8,260265.625
cosine_w256_c1,1024,2,8,243885.375
cosine_w256_c1,1024,3,8,240687.500
cosine_w256_c1,1024,4,8,251276.125
cosine_w256_c1,1024,5,8,250807.250
cosine_w256_c1,1024,6,8,254099.000
cosine_w256_c1,1024,7,8,255364.625
cosine_w256_c1,1024,8,8,252948.000
cosine_w256_c1,1024,9,8,253411.500
cosine_w256_c1,1024,10,8,254552.000
cosine_w256_c1,1024,11,8,254093.750
cosine_w256_c2,1024,0,8,254338.500
cosine_w256_c2,1024,1,8,255718.750
cosine_w256_c2,1024,2,8,255260.375
cosine_w256_c2,1024,3,8,254510.375
cosine_w256_c2,1024,4,8,256171.875
cosine_w256_c2,1024,5,8,253671.875
cosine_w256_c2,1024,6,8,255953.125
cosine_w256_c2,1024,7,8,255010.375
cosine_w256_c2,1024,8,8,255260.375
cosine_w256_c2,1024,9,8,255255.250
cosine_w256_c2,1024,10,8,254119.750
cosine_w256_c2,1024,11,8,255250.000
