case,rows,sample,iterations,ns
cosine_w1_c0,1024,0,1024,2371.623
cosine_w1_c0,1024,1,1024,2291.911
cosine_w1_c0,1024,2,1024,2336.020
cosine_w1_c0,1024,3,1024,2363.565
cosine_w1_c0,1024,4,1024,2391.887
cosine_w1_c0,1024,5,1024,2309.692
cosine_w1_c0,1024,6,1024,2426.961
cosine_w1_c0,1024,7,1024,2345.784
cosine_w1_c0,1024,8,1024,2354.004
cosine_w1_c0,1024,9,1024,2283.813
cosine_w1_c0,1024,10,1024,2288.046
cosine_w1_c0,1024,11,1024,2402.751
cosine_w1_c1,1024,0,1024,3156.250
cosine_w1_c1,1024,1,1024,2972.778
cosine_w1_c1,1024,2,1024,3006.104
cosine_w1_c1,1024,3,1024,3196.859
cosine_w1_c1,1024,4,1024,3101.480
cosine_w1_c1,1024,5,1024,3102.010
cosine_w1_c1,1024,6,1024,3134.318
cosine_w1_c1,1024,7,1024,3072.998
cosine_w1_c1,1024,8,1024,3127.645
cosine_w1_c1,1024,9,1024,3146.647
cosine_w1_c1,1024,10,1024,3079.671
cosine_w1_c1,1024,11,1024,2992.065
cosine_w1_c2,1024,0,1024,2877.767
cosine_w1_c2,1024,1,1024,2820.435
cosine_w1_c2,1024,2,1024,2922.445
cosine_w1_c2,1024,3,1024,2900.676
cosine_w1_c2,1024,4,1024,2824.992
cosine_w1_c2,1024,5,1024,2922.811
cosine_w1_c2,1024,6,1024,2915.771
cosine_w1_c2,1024,7,1024,2807.943
cosine_w1_c2,1024,8,1024,2980.144
cosine_w1_c2,1024,9,1024,2814.900
cosine_w1_c2,1024,10,1024,2807.698
cosine_w1_c2,1024,11,1024,2920.126
cosine_w2_c0,1024,0,1024,3163.330
cosine_w2_c0,1024,1,1024,2973.470
cosine_w2_c0,1024,2,1024,3111.490
cosine_w2_c0,1024,3,1024,3004.761
cosine_w2_c0,1024,4,1024,3032.593
cosine_w2_c0,1024,5,1024,3098.145
cosine_w2_c0,1024,6,1024,3003.540
cosine_w2_c0,1024,7,1024,2949.056
cosine_w2_c0,1024,8,1024,3032.512
cosine_w2_c0,1024,9,1024,2986.328
cosine_w2_c0,1024,10,1024,3120.728
cosine_w2_c0,1024,11,1024,2971.477
cosine_w2_c1,1024,0,1024,3442.464
cosine_w2_c1,1024,1,1024,3441.569
cosine_w2_c1,1024,2,1024,3508.545
cosine_w2_c1,1024,3,1024,3626.913
cosine_w2_c1,1024,4,1024,3487.671
cosine_w2_c1,1024,5,1024,3511.679
cosine_w2_c1,1024,6,1024,3608.643
cosine_w2_c1,1024,7,1024,3378.052
cosine_w2_c1,1024,8,1024,3430.868
cosine_w2_c1,1024,9,1024,3406.169
cosine_w2_c1,1024,10,1024,3554.036
cosine_w2_c1,1024,11,1024,3418.863
cosine_w2_c2,1024,0,1024,3208.130
cosine_w2_c2,1024,1,1024,3224.895
cosine_w2_c2,1024,2,1024,3170.370
cosine_w2_c2,1024,3,1024,3277.995
cosine_w2_c2,1024,4,1024,3277.222
cosine_w2_c2,1024,5,1024,3189.209
cosine_w2_c2,1024,6,1024,3283.854
cosine_w2_c2,1024,7,1024,3125.732
cosine_w2_c2,1024,8,1024,3172.241
cosine_w2_c2,1024,9,1024,3247.437
cosine_w2_c2,1024,10,1024,3199.423
cosine_w2_c2,1024,11,1024,3279.216
cosine_w3_c0,1024,0,512,4248.941
cosine_w3_c0,1024,1,512,4048.340
cosine_w3_c0,1024,2,512,3756.430
cosine_w3_c0,1024,3,512,3809.488
cosine_w3_c0,1024,4,512,3725.504
cosine_w3_c0,1024,5,512,3729.574
cosine_w3_c0,1024,6,512,3722.980
cosine_w3_c0,1024,7,512,3749.674
cosine_w3_c0,1024,8,512,3929.605
cosine_w3_c0,1024,9,512,4143.148
cosine_w3_c0,1024,10,512,3673.178
cosine_w3_c0,1024,11,512,3847.982
cosine_w3_c1,1024,0,512,4150.391
cosine_w3_c1,1024,1,512,4239.990
cosine_w3_c1,1024,2,512,4226.318
cosine_w3_c1,1024,3,512,4261.393
cosine_w3_c1,1024,4,512,4141.438
cosine_w3_c1,1024,5,512,4275.309
cosine_w3_c1,1024,6,512,4462.322
cosine_w3_c1,1024,7,512,4148.682
cosine_w3_c1,1024,8,512,4140.545
cosine_w3_c1,1024,9,512,4229.980
cosine_w3_c1,1024,10,512,4254.395
cosine_w3_c1,1024,11,512,4228.678
cosine_w3_c2,1024,0,512,4260.824
cosine_w3_c2,1024,1,512,4303.385
cosine_w3_c2,1024,2,512,4279.865
cosine_w3_c2,1024,3,512,4410.156
cosine_w3_c2,1024,4,512,4114.176
cosine_w3_c2,1024,5,512,4135.824
cosine_w3_c2,1024,6,512,4135.010
cosine_w3_c2,1024,7,512,4454.590
cosine_w3_c2,1024,8,512,4143.799
cosine_w3_c2,1024,9,512,4123.861
cosine_w3_c2,1024,10,512,4372.477
cosine_w3_c2,1024,11,512,4485.025
cosine_w4_c0,1024,0,512,5608.154
cosine_w4_c0,1024,1,512,5478.598
cosine_w4_c0,1024,2,512,5596.518
cosine_w4_c0,1024,3,512,5643.475
cosine_w4_c0,1024,4,512,5461.914
cosine_w4_c0,1024,5,512,5499.023
cosine_w4_c0,1024,6,512,5403.809
