case,rows,sample,iterations,ns
retry_dense,0,0,16384,222.193
retry_dense,0,1,16384,223.590
retry_dense,0,2,16384,222.939
retry_dense,0,3,16384,224.406
retry_dense,0,4,16384,225.039
retry_dense,0,5,16384,221.972
retry_dense,0,6,16384,226.692
retry_dense,0,7,16384,223.958
retry_dense,0,8,16384,222.000
retry_dense,0,9,16384,222.341
retry_dense,0,10,16384,226.145
retry_dense,0,11,16384,222.198
retry_partial,0,0,8192,421.972
retry_partial,0,1,8192,429.072
retry_partial,0,2,8192,433.863
retry_partial,0,3,8192,424.734
retry_partial,0,4,8192,423.828
retry_partial,0,5,8192,423.477
retry_partial,0,6,8192,423.615
retry_partial,0,7,8192,422.658
retry_partial,0,8,8192,426.224
retry_partial,0,9,8192,426.351
retry_partial,0,10,8192,422.623
retry_partial,0,11,8192,432.241
retry_retry,0,0,8192,418.330
retry_retry,0,1,8192,426.137
retry_retry,0,2,8192,428.686
retry_retry,0,3,8192,433.278
retry_retry,0,4,8192,429.225
retry_retry,0,5,8192,432.129
retry_retry,0,6,8192,428.167
retry_retry,0,7,8192,448.837
retry_retry,0,8,8192,431.890
retry_retry,0,9,8192,429.159
retry_retry,0,10,8192,439.046
retry_retry,0,11,8192,429.682
retry_failure,0,0,16384,226.651
retry_failure,0,1,16384,223.607
retry_failure,0,2,16384,231.377
retry_failure,0,3,16384,223.518
retry_failure,0,4,16384,223.234
retry_failure,0,5,16384,223.506
retry_failure,0,6,16384,223.295
retry_failure,0,7,16384,223.000
retry_failure,0,8,16384,225.199
retry_failure,0,9,16384,224.520
retry_failure,0,10,16384,222.748
retry_failure,0,11,16384,230.428
retry_dense,1,0,16384,232.015
retry_dense,1,1,16384,232.625
retry_dense,1,2,16384,232.824
retry_dense,1,3,16384,235.291
retry_dense,1,4,16384,238.065
retry_dense,1,5,16384,230.616
retry_dense,1,6,16384,242.859
retry_dense,1,7,16384,229.986
retry_dense,1,8,16384,233.198
retry_dense,1,9,16384,237.195
retry_dense,1,10,16384,232.585
retry_dense,1,11,16384,234.220
retry_partial,1,0,8192,431.681
retry_partial,1,1,8192,446.050
retry_partial,1,2,8192,434.092
retry_partial,1,3,8192,433.258
retry_partial,1,4,8192,433.370
retry_partial,1,5,8192,434.631
retry_partial,1,6,8192,433.212
retry_partial,1,7,8192,437.180
retry_partial,1,8,8192,436.239
retry_partial,1,9,8192,435.201
retry_partial,1,10,8192,447.530
retry_partial,1,11,8192,434.392
retry_retry,1,0,256,10761.230
retry_retry,1,1,256,10829.102
retry_retry,1,2,256,10819.012
retry_retry,1,3,256,11005.695
retry_retry,1,4,256,10878.418
retry_retry,1,5,256,11051.105
retry_retry,1,6,256,10915.039
retry_retry,1,7,256,11410.805
retry_retry,1,8,256,11045.574
retry_retry,1,9,256,11015.789
retry_retry,1,10,256,10998.535
retry_retry,1,11,256,11169.109
retry_failure,1,0,256,11624.348
retry_failure,1,1,256,11497.559
retry_failure,1,2,256,11606.609
retry_failure,1,3,256,11511.395
retry_failure,1,4,256,11935.547
retry_failure,1,5,256,11496.094
retry_failure,1,6,256,11464.684
retry_failure,1,7,256,11498.211
retry_failure,1,8,256,11485.516
retry_failure,1,9,256,11459.637
retry_failure,1,10,256,11487.629
retry_failure,1,11,256,11619.305
retry_dense,64,0,8192,249.654
retry_dense,64,1,8192,243.759
retry_dense,64,2,8192,243.917
retry_dense,64,3,8192,246.312
retry_dense,64,4,8192,255.641
retry_dense,64,5,8192,245.000
retry_dense,64,6,8192,244.924
retry_dense,64,7,8192,244.771
retry_dense,64,8,8192,244.797
retry_dense,64,9,8192,244.832
retry_dense,64,10,8192,243.413
retry_dense,64,11,8192,243.886
retry_partial,64,0,8192,443.105
retry_partial,64,1,8192,451.955
retry_partial,64,2,8192,463.053
retry_partial,64,3,8192,457.194
retry_partial,64,4,8192,453.039
retry_partial,64,5,8192,455.348
retry_partial,64,6,8192,457.397
retry_partial,64,7,8192,451.197
retry_partial,64,8,8192,454.941
retry_partial,64,9,8192,451.431
retry_partial,64,10,8192,455.836
retry_partial,64,11,8192,461.522
retry_retry,64,0,256,11398.762
retry_retry,64,1,256,11426.758
retry_retry,64,2,256,11388.348
retry_retry,64,3,256,11412.434
retry_retry,64,4,256,11541.504
retry_retry,64,5,256,11440.918
retry_retry,64,6,256,11492.676
retry_retry,64,7,256,11430.340
retry_retry,64,8,256,11837.078
retry_retry,64,9,256,11460.449
retry_retry,64,10,256,11402.016
retry_retry,64,11,256,11430.500
retry_failure,64,0,256,11547.363
retry_failure,64,1,256,11479.980
retry_failure,64,2,256,11575.195
retry_failure,64,3,256,11451.336
retry_failure,64,4,256,11778.809
retry_failure,64,5,256,11743.816
retry_failure,64,6,256,11527.996
retry_failure,64,7,256,11465.004
retry_failure,64,8,256,11646.160
retry_failure,64,9,256,11550.941
retry_failure,64,10,256,11440.758
retry_failure,64,11,256,11499.512
retry_dense,1024,0,8192,428.640
retry_dense,1024,1,8192,502.202
retry_dense,1024,2,8192,481.277
retry_dense,1024,3,8192,429.423
retry_dense,1024,4,8192,426.320
retry_dense,1024,5,8192,426.839
retry_dense,1024,6,8192,441.788
retry_dense,1024,7,8192,439.260
retry_dense,1024,8,8192,438.721
retry_dense,1024,9,8192,448.568
retry_dense,1024,10,8192,458.654
retry_dense,1024,11,8192,452.026
retry_partial,1024,0,4096,658.600
retry_partial,1024,1,4096,693.125
retry_partial,1024,2,4096,672.811
retry_partial,1024,3,4096,686.768
retry_partial,1024,4,4096,687.897
retry_partial,1024,5,4096,658.875
retry_partial,1024,6,4096,655.568
retry_partial,1024,7,4096,650.970
