case,rows,sample,iterations,ns
selected_valid_c0_plain,0,0,8192,466.949
selected_valid_c0_plain,0,1,8192,470.235
selected_valid_c0_plain,0,2,8192,474.375
selected_valid_c0_plain,0,3,8192,469.437
selected_valid_c0_plain,0,4,8192,469.747
selected_valid_c0_plain,0,5,8192,472.321
selected_valid_c0_plain,0,6,8192,470.459
selected_valid_c0_plain,0,7,8192,470.128
selected_valid_c0_plain,0,8,8192,473.613
selected_valid_c0_plain,0,9,8192,469.961
selected_valid_c0_plain,0,10,8192,471.390
selected_valid_c0_plain,0,11,8192,489.293
selected_valid_c0_multi,0,0,8192,470.769
selected_valid_c0_multi,0,1,8192,469.915
selected_valid_c0_multi,0,2,8192,471.369
selected_valid_c0_multi,0,3,8192,471.003
selected_valid_c0_multi,0,4,8192,470.622
selected_valid_c0_multi,0,5,8192,470.978
selected_valid_c0_multi,0,6,8192,474.676
selected_valid_c0_multi,0,7,8192,471.720
selected_valid_c0_multi,0,8,8192,470.083
selected_valid_c0_multi,0,9,8192,473.139
selected_valid_c0_multi,0,10,8192,471.990
selected_valid_c0_multi,0,11,8192,471.344
selected_filtered_c0_plain,0,0,8192,470.901
selected_filtered_c0_plain,0,1,8192,474.238
selected_filtered_c0_plain,0,2,8192,471.405
selected_filtered_c0_plain,0,3,8192,472.290
selected_filtered_c0_plain,0,4,8192,473.679
selected_filtered_c0_plain,0,5,8192,473.516
selected_filtered_c0_plain,0,6,8192,471.975
selected_filtered_c0_plain,0,7,8192,472.326
selected_filtered_c0_plain,0,8,8192,473.612
selected_filtered_c0_plain,0,9,8192,478.643
selected_filtered_c0_plain,0,10,8192,473.704
selected_filtered_c0_plain,0,11,8192,473.241
selected_filtered_c0_multi,0,0,8192,473.719
selected_filtered_c0_multi,0,1,8192,474.584
selected_filtered_c0_multi,0,2,8192,473.735
selected_filtered_c0_multi,0,3,8192,474.401
selected_filtered_c0_multi,0,4,8192,477.442
selected_filtered_c0_multi,0,5,8192,477.468
selected_filtered_c0_multi,0,6,8192,475.337
selected_filtered_c0_multi,0,7,8192,489.120
selected_filtered_c0_multi,0,8,8192,478.816
selected_filtered_c0_multi,0,9,8192,475.372
selected_filtered_c0_multi,0,10,8192,476.135
selected_filtered_c0_multi,0,11,8192,475.515
selected_valid_c1_plain,0,0,4096,644.175
selected_valid_c1_plain,0,1,4096,642.069
selected_valid_c1_plain,0,2,4096,633.474
selected_valid_c1_plain,0,3,4096,639.018
selected_valid_c1_plain,0,4,4096,639.526
selected_valid_c1_plain,0,5,4096,637.156
selected_valid_c1_plain,0,6,4096,634.115
selected_valid_c1_plain,0,7,4096,633.728
selected_valid_c1_plain,0,8,4096,634.521
selected_valid_c1_plain,0,9,4096,635.885
selected_valid_c1_plain,0,10,4096,634.460
selected_valid_c1_plain,0,11,4096,634.623
selected_valid_c1_multi,0,0,4096,629.710
selected_valid_c1_multi,0,1,4096,630.371
selected_valid_c1_multi,0,2,4096,633.189
selected_valid_c1_multi,0,3,4096,632.385
selected_valid_c1_multi,0,4,4096,629.903
selected_valid_c1_multi,0,5,4096,631.012
selected_valid_c1_multi,0,6,4096,631.337
selected_valid_c1_multi,0,7,4096,630.229
selected_valid_c1_multi,0,8,4096,631.063
selected_valid_c1_multi,0,9,4096,630.737
selected_valid_c1_multi,0,10,4096,631.653
selected_valid_c1_multi,0,11,4096,641.378
selected_filtered_c1_plain,0,0,4096,634.450
selected_filtered_c1_plain,0,1,4096,636.525
selected_filtered_c1_plain,0,2,4096,635.254
selected_filtered_c1_plain,0,3,4096,634.033
selected_filtered_c1_plain,0,4,4096,635.712
selected_filtered_c1_plain,0,5,4096,634.491
selected_filtered_c1_plain,0,6,4096,634.318
selected_filtered_c1_plain,0,7,4096,634.369
selected_filtered_c1_plain,0,8,4096,634.247
selected_filtered_c1_plain,0,9,4096,636.475
selected_filtered_c1_plain,0,10,4096,640.981
selected_filtered_c1_plain,0,11,4096,633.992
selected_filtered_c1_multi,0,0,4096,633.779
selected_filtered_c1_multi,0,1,4096,632.517
selected_filtered_c1_multi,0,2,4096,632.324
selected_filtered_c1_multi,0,3,4096,631.775
selected_filtered_c1_multi,0,4,4096,632.131
selected_filtered_c1_multi,0,5,4096,639.781
selected_filtered_c1_multi,0,6,4096,632.324
selected_filtered_c1_multi,0,7,4096,631.724
selected_filtered_c1_multi,0,8,4096,632.283
selected_filtered_c1_multi,0,9,4096,664.276
selected_filtered_c1_multi,0,10,4096,639.760
selected_filtered_c1_multi,0,11,4096,632.233
selected_valid_c2_plain,0,0,4096,631.999
selected_valid_c2_plain,0,1,4096,632.904
selected_valid_c2_plain,0,2,4096,633.565
selected_valid_c2_plain,0,3,4096,634.043
selected_valid_c2_plain,0,4,4096,635.081
selected_valid_c2_plain,0,5,4096,632.874
selected_valid_c2_plain,0,6,4096,638.377
selected_valid_c2_plain,0,7,4096,628.123
selected_valid_c2_plain,0,8,4096,640.839
selected_valid_c2_plain,0,9,4096,630.930
selected_valid_c2_plain,0,10,4096,632.517
selected_valid_c2_plain,0,11,4096,629.740
selected_valid_c2_multi,0,0,4096,629.405
selected_valid_c2_multi,0,1,4096,629.130
selected_valid_c2_multi,0,2,4096,632.121
selected_valid_c2_multi,0,3,4096,628.347
selected_valid_c2_multi,0,4,4096,628.530
selected_valid_c2_multi,0,5,4096,629.710
selected_valid_c2_multi,0,6,4096,627.614
selected_valid_c2_multi,0,7,4096,635.458
selected_valid_c2_multi,0,8,4096,628.133
selected_valid_c2_multi,0,9,4096,627.808
selected_valid_c2_multi,0,10,4096,632.599
selected_valid_c2_multi,0,11,4096,632.833
selected_filtered_c2_plain,0,0,4096,629.934
selected_filtered_c2_plain,0,1,4096,631.887
selected_filtered_c2_plain,0,2,4096,636.526
selected_filtered_c2_plain,0,3,4096,633.372
selected_filtered_c2_plain,0,4,4096,630.595
selected_filtered_c2_plain,0,5,4096,632.477
selected_filtered_c2_plain,0,6,4096,637.624
selected_filtered_c2_plain,0,7,4096,631.185
selected_filtered_c2_plain,0,8,4096,631.531
selected_filtered_c2_plain,0,9,4096,631.948
selected_filtered_c2_plain,0,10,4096,630.066
selected_filtered_c2_plain,0,11,4096,633.728
selected_filtered_c2_multi,0,0,4096,627.045
selected_filtered_c2_multi,0,1,4096,627.299
selected_filtered_c2_multi,0,2,4096,627.615
selected_filtered_c2_multi,0,3,4096,627.156
selected_filtered_c2_multi,0,4,4096,627.279
selected_filtered_c2_multi,0,5,4096,634.766
selected_filtered_c2_multi,0,6,4096,626.414
selected_filtered_c2_multi,0,7,4096,636.912
selected_filtered_c2_multi,0,8,4096,627.655
selected_filtered_c2_multi,0,9,4096,627.431
selected_filtered_c2_multi,0,10,4096,653.463
selected_filtered_c2_multi,0,11,4096,629.578
selected_valid_c0_plain,1,0,16384,161.461
selected_valid_c0_plain,1,1,16384,162.463
selected_valid_c0_plain,1,2,16384,162.379
selected_valid_c0_plain,1,3,16384,162.387
selected_valid_c0_plain,1,4,16384,164.004
selected_valid_c0_plain,1,5,16384,161.260
selected_valid_c0_plain,1,6,16384,162.463
selected_valid_c0_plain,1,7,16384,161.301
selected_valid_c0_plain,1,8,16384,162.613
selected_valid_c0_plain,1,9,16384,162.679
selected_valid_c0_plain,1,10,16384,162.572
selected_valid_c0_plain,1,11,16384,162.435
selected_valid_c0_multi,1,0,16384,161.227
selected_valid_c0_multi,1,1,16384,161.283
selected_valid_c0_multi,1,2,16384,162.109
selected_valid_c0_multi,1,3,16384,163.450
selected_valid_c0_multi,1,4,16384,161.156
selected_valid_c0_multi,1,5,16384,161.298
selected_valid_c0_multi,1,6,16384,161.255
selected_valid_c0_multi,1,7,16384,161.835
selected_valid_c0_multi,1,8,16384,162.188
selected_valid_c0_multi,1,9,16384,161.842
selected_valid_c0_multi,1,10,16384,161.697
selected_valid_c0_multi,1,11,16384,161.763
selected_filtered_c0_plain,1,0,16384,162.928
selected_filtered_c0_plain,1,1,16384,163.218
selected_filtered_c0_plain,1,2,16384,165.688
selected_filtered_c0_plain,1,3,16384,163.376
selected_filtered_c0_plain,1,4,16384,162.852
selected_filtered_c0_plain,1,5,16384,163.625
selected_filtered_c0_plain,1,6,16384,165.087
selected_filtered_c0_plain,1,7,16384,163.101
selected_filtered_c0_plain,1,8,16384,162.811
selected_filtered_c0_plain,1,9,16384,162.928
selected_filtered_c0_plain,1,10,16384,164.973
selected_filtered_c0_plain,1,11,16384,162.997
selected_filtered_c0_multi,1,0,16384,165.349
selected_filtered_c0_multi,1,1,16384,163.404
selected_filtered_c0_multi,1,2,16384,163.427
selected_filtered_c0_multi,1,3,16384,163.488
selected_filtered_c0_multi,1,4,16384,163.272
selected_filtered_c0_multi,1,5,16384,166.428
selected_filtered_c0_multi,1,6,16384,163.422
selected_filtered_c0_multi,1,7,16384,163.643
selected_filtered_c0_multi,1,8,16384,164.762
selected_filtered_c0_multi,1,9,16384,165.899
selected_filtered_c0_multi,1,10,16384,168.533
selected_filtered_c0_multi,1,11,16384,163.717
selected_valid_c1_plain,1,0,16384,159.930
selected_valid_c1_plain,1,1,16384,161.046
selected_valid_c1_plain,1,2,16384,159.187
selected_valid_c1_plain,1,3,16384,160.647
selected_valid_c1_plain,1,4,16384,161.575
selected_valid_c1_plain,1,5,16384,160.494
selected_valid_c1_plain,1,6,16384,160.520
selected_valid_c1_plain,1,7,16384,160.706
selected_valid_c1_plain,1,8,16384,159.566
selected_valid_c1_plain,1,9,16384,159.101
selected_valid_c1_plain,1,10,16384,160.510
