case,rows,sample,iterations,ns
selected_valid_c0_plain,0,0,8192,481.974
selected_valid_c0_plain,0,1,8192,476.237
selected_valid_c0_plain,0,2,8192,485.799
selected_valid_c0_plain,0,3,8192,477.453
selected_valid_c0_plain,0,4,8192,482.864
selected_valid_c0_plain,0,5,8192,476.954
selected_valid_c0_plain,0,6,8192,476.120
selected_valid_c0_plain,0,7,8192,473.943
selected_valid_c0_plain,0,8,8192,482.356
selected_valid_c0_plain,0,9,8192,467.056
selected_valid_c0_plain,0,10,8192,470.495
selected_valid_c0_plain,0,11,8192,477.809
selected_valid_c0_multi,0,0,4096,480.154
selected_valid_c0_multi,0,1,4096,473.969
selected_valid_c0_multi,0,2,4096,475.769
selected_valid_c0_multi,0,3,4096,470.103
selected_valid_c0_multi,0,4,4096,471.059
selected_valid_c0_multi,0,5,4096,472.026
selected_valid_c0_multi,0,6,4096,471.141
selected_valid_c0_multi,0,7,4096,471.975
selected_valid_c0_multi,0,8,4096,489.197
selected_valid_c0_multi,0,9,4096,468.781
selected_valid_c0_multi,0,10,4096,473.328
selected_valid_c0_multi,0,11,4096,473.643
selected_filtered_c0_plain,0,0,8192,473.643
selected_filtered_c0_plain,0,1,8192,473.470
selected_filtered_c0_plain,0,2,8192,471.853
selected_filtered_c0_plain,0,3,8192,469.752
selected_filtered_c0_plain,0,4,8192,472.015
selected_filtered_c0_plain,0,5,8192,470.373
selected_filtered_c0_plain,0,6,8192,470.347
selected_filtered_c0_plain,0,7,8192,474.050
selected_filtered_c0_plain,0,8,8192,470.322
selected_filtered_c0_plain,0,9,8192,469.940
selected_filtered_c0_plain,0,10,8192,471.741
selected_filtered_c0_plain,0,11,8192,470.037
selected_filtered_c0_multi,0,0,8192,470.754
selected_filtered_c0_multi,0,1,8192,470.357
selected_filtered_c0_multi,0,2,8192,474.660
selected_filtered_c0_multi,0,3,8192,471.375
selected_filtered_c0_multi,0,4,8192,473.282
selected_filtered_c0_multi,0,5,8192,480.642
selected_filtered_c0_multi,0,6,8192,470.749
selected_filtered_c0_multi,0,7,8192,470.800
selected_filtered_c0_multi,0,8,8192,471.461
selected_filtered_c0_multi,0,9,8192,470.347
selected_filtered_c0_multi,0,10,8192,475.606
selected_filtered_c0_multi,0,11,8192,476.237
selected_valid_c1_plain,0,0,4096,629.425
selected_valid_c1_plain,0,1,4096,634.796
selected_valid_c1_plain,0,2,4096,629.964
selected_valid_c1_plain,0,3,4096,632.426
selected_valid_c1_plain,0,4,4096,630.829
selected_valid_c1_plain,0,5,4096,630.341
selected_valid_c1_plain,0,6,4096,629.415
selected_valid_c1_plain,0,7,4096,629.750
selected_valid_c1_plain,0,8,4096,630.452
selected_valid_c1_plain,0,9,4096,639.608
selected_valid_c1_plain,0,10,4096,630.534
selected_valid_c1_plain,0,11,4096,629.415
selected_valid_c1_multi,0,0,4096,639.008
selected_valid_c1_multi,0,1,4096,632.222
selected_valid_c1_multi,0,2,4096,629.781
selected_valid_c1_multi,0,3,4096,630.259
selected_valid_c1_multi,0,4,4096,630.788
selected_valid_c1_multi,0,5,4096,630.493
selected_valid_c1_multi,0,6,4096,629.771
selected_valid_c1_multi,0,7,4096,628.560
selected_valid_c1_multi,0,8,4096,637.624
selected_valid_c1_multi,0,9,4096,628.896
selected_valid_c1_multi,0,10,4096,629.160
selected_valid_c1_multi,0,11,4096,629.191
selected_filtered_c1_plain,0,0,4096,627.686
selected_filtered_c1_plain,0,1,4096,630.035
selected_filtered_c1_plain,0,2,4096,629.344
selected_filtered_c1_plain,0,3,4096,632.456
selected_filtered_c1_plain,0,4,4096,628.520
selected_filtered_c1_plain,0,5,4096,627.167
selected_filtered_c1_plain,0,6,4096,628.093
selected_filtered_c1_plain,0,7,4096,638.926
selected_filtered_c1_plain,0,8,4096,637.889
selected_filtered_c1_plain,0,9,4096,634.318
selected_filtered_c1_plain,0,10,4096,628.713
selected_filtered_c1_plain,0,11,4096,628.184
selected_filtered_c1_multi,0,0,4096,631.022
selected_filtered_c1_multi,0,1,4096,630.269
selected_filtered_c1_multi,0,2,4096,635.112
selected_filtered_c1_multi,0,3,4096,633.982
selected_filtered_c1_multi,0,4,4096,626.912
selected_filtered_c1_multi,0,5,4096,631.368
selected_filtered_c1_multi,0,6,4096,641.337
selected_filtered_c1_multi,0,7,4096,655.589
selected_filtered_c1_multi,0,8,4096,631.876
selected_filtered_c1_multi,0,9,4096,630.808
selected_filtered_c1_multi,0,10,4096,632.812
selected_filtered_c1_multi,0,11,4096,631.297
selected_valid_c2_plain,0,0,4096,631.246
selected_valid_c2_plain,0,1,4096,632.446
selected_valid_c2_plain,0,2,4096,631.754
selected_valid_c2_plain,0,3,4096,631.429
selected_valid_c2_plain,0,4,4096,631.246
selected_valid_c2_plain,0,5,4096,638.947
selected_valid_c2_plain,0,6,4096,630.280
selected_valid_c2_plain,0,7,4096,632.375
selected_valid_c2_plain,0,8,4096,633.545
selected_valid_c2_plain,0,9,4096,631.053
selected_valid_c2_plain,0,10,4096,635.498
selected_valid_c2_plain,0,11,4096,632.263
selected_valid_c2_multi,0,0,4096,632.985
selected_valid_c2_multi,0,1,4096,632.935
selected_valid_c2_multi,0,2,4096,631.053
selected_valid_c2_multi,0,3,4096,631.165
selected_valid_c2_multi,0,4,4096,637.624
selected_valid_c2_multi,0,5,4096,631.409
selected_valid_c2_multi,0,6,4096,631.775
selected_valid_c2_multi,0,7,4096,630.951
selected_valid_c2_multi,0,8,4096,636.047
selected_valid_c2_multi,0,9,4096,631.968
selected_valid_c2_multi,0,10,4096,631.683
selected_valid_c2_multi,0,11,4096,630.971
selected_filtered_c2_plain,0,0,4096,630.595
selected_filtered_c2_plain,0,1,4096,630.086
selected_filtered_c2_plain,0,2,4096,629.028
selected_filtered_c2_plain,0,3,4096,638.529
selected_filtered_c2_plain,0,4,4096,628.550
selected_filtered_c2_plain,0,5,4096,629.099
selected_filtered_c2_plain,0,6,4096,630.310
selected_filtered_c2_plain,0,7,4096,630.544
selected_filtered_c2_plain,0,8,4096,632.680
selected_filtered_c2_plain,0,9,4096,632.823
selected_filtered_c2_plain,0,10,4096,630.910
selected_filtered_c2_plain,0,11,4096,630.422
selected_filtered_c2_multi,0,0,4096,632.344
selected_filtered_c2_multi,0,1,4096,640.493
selected_filtered_c2_multi,0,2,4096,634.023
selected_filtered_c2_multi,0,3,4096,641.937
selected_filtered_c2_multi,0,4,4096,635.488
selected_filtered_c2_multi,0,5,4096,641.551
selected_filtered_c2_multi,0,6,4096,637.024
selected_filtered_c2_multi,0,7,4096,668.864
selected_filtered_c2_multi,0,8,4096,634.094
selected_filtered_c2_multi,0,9,4096,635.600
selected_filtered_c2_multi,0,10,4096,634.877
selected_filtered_c2_multi,0,11,4096,646.057
selected_valid_c0_plain,1,0,16384,163.831
selected_valid_c0_plain,1,1,16384,166.377
selected_valid_c0_plain,1,2,16384,164.355
selected_valid_c0_plain,1,3,16384,164.622
selected_valid_c0_plain,1,4,16384,164.518
selected_valid_c0_plain,1,5,16384,164.576
selected_valid_c0_plain,1,6,16384,165.105
selected_valid_c0_plain,1,7,16384,164.416
selected_valid_c0_plain,1,8,16384,164.843
selected_valid_c0_plain,1,9,16384,164.795
selected_valid_c0_plain,1,10,16384,164.757
selected_valid_c0_plain,1,11,16384,163.333
selected_valid_c0_multi,1,0,16384,166.494
selected_valid_c0_multi,1,1,16384,164.337
selected_valid_c0_multi,1,2,16384,164.431
selected_valid_c0_multi,1,3,16384,163.376
selected_valid_c0_multi,1,4,16384,164.963
selected_valid_c0_multi,1,5,16384,164.617
selected_valid_c0_multi,1,6,16384,164.665
selected_valid_c0_multi,1,7,16384,164.726
selected_valid_c0_multi,1,8,16384,163.165
selected_valid_c0_multi,1,9,16384,164.307
selected_valid_c0_multi,1,10,16384,163.195
selected_valid_c0_multi,1,11,16384,164.297
selected_filtered_c0_plain,1,0,16384,163.892
selected_filtered_c0_plain,1,1,16384,164.029
selected_filtered_c0_plain,1,2,16384,165.120
selected_filtered_c0_plain,1,3,16384,164.299
selected_filtered_c0_plain,1,4,16384,163.521
selected_filtered_c0_plain,1,5,16384,163.114
selected_filtered_c0_plain,1,6,16384,163.472
selected_filtered_c0_plain,1,7,16384,163.785
selected_filtered_c0_plain,1,8,16384,163.350
selected_filtered_c0_plain,1,9,16384,163.694
selected_filtered_c0_plain,1,10,16384,163.106
selected_filtered_c0_plain,1,11,16384,165.370
selected_filtered_c0_multi,1,0,16384,165.426
selected_filtered_c0_multi,1,1,16384,166.000
selected_filtered_c0_multi,1,2,16384,166.438
selected_filtered_c0_multi,1,3,16384,165.667
selected_filtered_c0_multi,1,4,16384,167.315
selected_filtered_c0_multi,1,5,16384,166.590
selected_filtered_c0_multi,1,6,16384,165.352
selected_filtered_c0_multi,1,7,16384,167.246
selected_filtered_c0_multi,1,8,16384,165.682
selected_filtered_c0_multi,1,9,16384,167.104
selected_filtered_c0_multi,1,10,16384,173.365
selected_filtered_c0_multi,1,11,16384,165.962
selected_valid_c1_plain,1,0,16384,163.417
selected_valid_c1_plain,1,1,16384,162.806
selected_valid_c1_plain,1,2,16384,163.829
selected_valid_c1_plain,1,3,16384,163.396
selected_valid_c1_plain,1,4,16384,162.689
selected_valid_c1_plain,1,5,16384,162.931
selected_valid_c1_plain,1,6,16384,162.626
selected_valid_c1_plain,1,7,16384,162.824
selected_valid_c1_plain,1,8,16384,164.803
selected_valid_c1_plain,1,9,16384,164.942
selected_valid_c1_plain,1,10,16384,162.582
selected_valid_c1_plain,1,11,16384,162.773
selected_valid_c1_multi,1,0,16384,161.972
selected_valid_c1_multi,1,1,16384,161.827
selected_valid_c1_multi,1,2,16384,162.308
selected_valid_c1_multi,1,3,16384,162.158
selected_valid_c1_multi,1,4,16384,161.855
selected_valid_c1_multi,1,5,16384,162.323
selected_valid_c1_multi,1,6,16384,162.140
selected_valid_c1_multi,1,7,16384,163.218
selected_valid_c1_multi,1,8,16384,161.908
selected_valid_c1_multi,1,9,16384,161.779
selected_valid_c1_multi,1,10,16384,161.865
selected_valid_c1_multi,1,11,16384,162.328
selected_filtered_c1_plain,1,0,16384,162.860
selected_filtered_c1_plain,1,1,16384,162.252
selected_filtered_c1_plain,1,2,16384,162.977
selected_filtered_c1_plain,1,3,16384,162.150
selected_filtered_c1_plain,1,4,16384,161.748
selected_filtered_c1_plain,1,5,16384,163.493
selected_filtered_c1_plain,1,6,16384,161.471
selected_filtered_c1_plain,1,7,16384,163.267
selected_filtered_c1_plain,1,8,16384,160.596
selected_filtered_c1_plain,1,9,16384,161.265
selected_filtered_c1_plain,1,10,16384,162.552
selected_filtered_c1_plain,1,11,16384,161.316
selected_filtered_c1_multi,1,0,16384,162.206
selected_filtered_c1_multi,1,1,16384,162.463
selected_filtered_c1_multi,1,2,16384,162.468
selected_filtered_c1_multi,1,3,16384,162.580
selected_filtered_c1_multi,1,4,16384,164.436
selected_filtered_c1_multi,1,5,16384,162.191
selected_filtered_c1_multi,1,6,16384,163.610
selected_filtered_c1_multi,1,7,16384,162.290
selected_filtered_c1_multi,1,8,16384,168.640
selected_filtered_c1_multi,1,9,16384,163.633
selected_filtered_c1_multi,1,10,16384,162.328
selected_filtered_c1_multi,1,11,16384,162.247
selected_valid_c2_plain,1,0,16384,164.487
selected_valid_c2_plain,1,1,16384,164.831
selected_valid_c2_plain,1,2,16384,166.870
selected_valid_c2_plain,1,3,16384,165.362
selected_valid_c2_plain,1,4,16384,164.986
selected_valid_c2_plain,1,5,16384,164.416
selected_valid_c2_plain,1,6,16384,166.321
selected_valid_c2_plain,1,7,16384,163.516
selected_valid_c2_plain,1,8,16384,164.368
selected_valid_c2_plain,1,9,16384,164.897
selected_valid_c2_plain,1,10,16384,164.759
selected_valid_c2_plain,1,11,16384,163.455
selected_valid_c2_multi,1,0,16384,165.344
selected_valid_c2_multi,1,1,16384,163.030
selected_valid_c2_multi,1,2,16384,164.286
selected_valid_c2_multi,1,3,16384,163.195
selected_valid_c2_multi,1,4,16384,163.139
