label,case,rows,samples,median_ns,p25_ns,p75_ns
utf8-before,utf8_decode_external,0,36,85.468,84.953,116.242
utf8-before,utf8_decode_external,1,36,103.733,103.502,104.431
utf8-before,utf8_decode_external,64,36,661.204,655.296,671.138
utf8-before,utf8_decode_external,1024,36,9089.192,9030.437,9312.742
utf8-before,utf8_decode_external,16384,36,142869.781,142022.172,143545.562
utf8-before,utf8_decode_inline,0,36,85.555,85.163,193.716
utf8-before,utf8_decode_inline,1,36,86.300,85.978,87.782
utf8-before,utf8_decode_inline,64,36,307.594,303.229,308.750
utf8-before,utf8_decode_inline,1024,36,3650.573,3635.092,3671.041
utf8-before,utf8_decode_inline,16384,36,58601.562,56774.578,65025.058
utf8-after,utf8_decode_external,0,36,19.735,19.655,25.910
utf8-after,utf8_decode_external,1,36,34.277,33.936,34.656
utf8-after,utf8_decode_external,64,36,590.465,586.052,594.798
utf8-after,utf8_decode_external,1024,36,8986.817,8923.667,9157.349
utf8-after,utf8_decode_external,16384,36,143725.250,143090.485,147565.766
utf8-after,utf8_decode_inline,0,36,19.905,19.844,44.937
utf8-after,utf8_decode_inline,1,36,21.349,21.280,21.511
utf8-after,utf8_decode_inline,64,36,288.579,244.040,292.111
utf8-after,utf8_decode_inline,1024,36,3614.278,3567.779,4327.362
utf8-after,utf8_decode_inline,16384,36,57613.281,56949.219,61283.039
bool-before,bool_dense_c0_multi,0,36,241.530,240.961,242.028
bool-before,bool_dense_c0_multi,1,36,253.576,253.081,253.873
bool-before,bool_dense_c0_multi,64,36,263.084,262.511,264.480
bool-before,bool_dense_c0_multi,1024,36,464.828,463.442,467.200
bool-before,bool_dense_c0_multi,16384,36,3768.391,3756.765,3781.831
bool-before,bool_dense_c0_plain,0,36,240.820,240.315,242.260
bool-before,bool_dense_c0_plain,1,36,251.538,251.256,252.346
bool-before,bool_dense_c0_plain,64,36,260.877,259.547,261.928
bool-before,bool_dense_c0_plain,1024,36,454.318,453.591,455.527
bool-before,bool_dense_c0_plain,16384,36,3634.745,3623.118,3653.076
bool-before,bool_dense_c1_multi,0,36,397.011,396.249,398.790
bool-before,bool_dense_c1_multi,1,36,246.816,246.236,247.166
bool-before,bool_dense_c1_multi,64,36,253.927,252.924,255.908
bool-before,bool_dense_c1_multi,1024,36,391.120,389.935,391.716
bool-before,bool_dense_c1_multi,16384,36,2624.959,2617.818,2643.005
bool-before,bool_dense_c1_plain,0,36,396.558,396.029,397.520
bool-before,bool_dense_c1_plain,1,36,246.368,245.856,246.819
bool-before,bool_dense_c1_plain,64,36,253.972,253.136,256.537
bool-before,bool_dense_c1_plain,1024,36,390.203,389.544,391.355
bool-before,bool_dense_c1_plain,16384,36,2619.263,2615.224,2624.878
bool-before,bool_dense_c2_multi,0,36,394.147,393.537,395.736
bool-before,bool_dense_c2_multi,1,36,243.965,243.696,244.714
bool-before,bool_dense_c2_multi,64,36,251.605,249.733,254.239
bool-before,bool_dense_c2_multi,1024,36,396.442,394.841,401.254
bool-before,bool_dense_c2_multi,16384,36,2777.262,2769.745,2794.108
bool-before,bool_dense_c2_plain,0,36,394.511,393.621,396.251
bool-before,bool_dense_c2_plain,1,36,244.284,243.837,245.414
bool-before,bool_dense_c2_plain,64,36,250.287,247.172,258.123
bool-before,bool_dense_c2_plain,1024,36,385.139,384.409,390.010
bool-before,bool_dense_c2_plain,16384,36,2643.616,2629.506,2654.989
bool-before,bool_failure_c0_multi,0,36,242.404,241.808,243.757
bool-before,bool_failure_c0_multi,1,36,184.282,183.260,185.675
bool-before,bool_failure_c0_multi,64,36,192.190,191.129,193.554
bool-before,bool_failure_c0_multi,1024,36,394.870,393.808,395.680
bool-before,bool_failure_c0_multi,16384,36,3677.165,3674.724,3684.234
bool-before,bool_failure_c0_plain,0,36,241.108,240.501,242.023
bool-before,bool_failure_c0_plain,1,36,185.109,183.991,187.749
bool-before,bool_failure_c0_plain,64,36,192.387,191.615,193.451
bool-before,bool_failure_c0_plain,1024,36,387.024,385.758,388.502
bool-before,bool_failure_c0_plain,16384,36,3554.159,3545.786,3563.162
bool-before,bool_failure_c1_multi,0,36,397.242,396.451,399.545
bool-before,bool_failure_c1_multi,1,36,177.401,176.519,179.382
bool-before,bool_failure_c1_multi,64,36,184.443,182.629,185.305
bool-before,bool_failure_c1_multi,1024,36,320.760,318.846,322.529
bool-before,bool_failure_c1_multi,16384,36,2544.555,2527.202,2572.632
bool-before,bool_failure_c1_plain,0,36,397.504,396.793,399.743
bool-before,bool_failure_c1_plain,1,36,178.310,177.195,180.216
bool-before,bool_failure_c1_plain,64,36,183.754,182.674,184.236
bool-before,bool_failure_c1_plain,1024,36,320.730,320.034,322.082
bool-before,bool_failure_c1_plain,16384,36,2540.019,2533.560,2556.508
bool-before,bool_failure_c2_multi,0,36,395.281,393.885,396.662
bool-before,bool_failure_c2_multi,1,36,175.766,175.195,177.293
bool-before,bool_failure_c2_multi,64,36,180.023,179.158,181.166
bool-before,bool_failure_c2_multi,1024,36,322.835,321.272,324.769
bool-before,bool_failure_c2_multi,16384,36,2696.493,2687.104,2703.075
bool-before,bool_failure_c2_plain,0,36,395.254,394.487,396.305
bool-before,bool_failure_c2_plain,1,36,176.031,175.239,177.244
bool-before,bool_failure_c2_plain,64,36,179.373,176.865,180.322
bool-before,bool_failure_c2_plain,1024,36,315.668,313.072,321.126
bool-before,bool_failure_c2_plain,16384,36,2568.827,2561.442,2579.234
bool-before,bool_partial_c0_multi,0,36,455.618,454.102,458.357
bool-before,bool_partial_c0_multi,1,36,469.279,468.382,472.727
bool-before,bool_partial_c0_multi,64,36,479.538,476.896,483.920
bool-before,bool_partial_c0_multi,1024,36,674.347,669.703,678.564
bool-before,bool_partial_c0_multi,16384,36,3772.644,3753.001,3781.484
bool-before,bool_partial_c0_plain,0,36,455.645,453.489,456.950
bool-before,bool_partial_c0_plain,1,36,470.759,468.749,471.816
bool-before,bool_partial_c0_plain,64,36,479.541,476.270,486.473
bool-before,bool_partial_c0_plain,1024,36,670.619,669.230,675.458
bool-before,bool_partial_c0_plain,16384,36,3779.033,3770.885,3794.078
bool-before,bool_partial_c1_multi,0,36,614.298,613.538,615.756
bool-before,bool_partial_c1_multi,1,36,456.555,454.783,459.069
bool-before,bool_partial_c1_multi,64,36,495.890,494.278,499.418
bool-before,bool_partial_c1_multi,1024,36,1075.480,1072.403,1085.465
bool-before,bool_partial_c1_multi,16384,36,10298.664,10251.097,10561.971
bool-before,bool_partial_c1_plain,0,36,615.952,614.177,618.978
bool-before,bool_partial_c1_plain,1,36,454.180,453.619,455.024
bool-before,bool_partial_c1_plain,64,36,494.207,493.167,508.751
bool-before,bool_partial_c1_plain,1024,36,1075.002,1072.988,1089.528
bool-before,bool_partial_c1_plain,16384,36,10355.060,10261.149,10523.520
bool-before,bool_partial_c2_multi,0,36,613.449,612.267,614.683
bool-before,bool_partial_c2_multi,1,36,458.046,457.372,460.149
bool-before,bool_partial_c2_multi,64,36,500.651,499.097,502.451
bool-before,bool_partial_c2_multi,1024,36,1084.218,1077.001,1154.241
bool-before,bool_partial_c2_multi,16384,36,10735.760,10227.008,11025.189
bool-before,bool_partial_c2_plain,0,36,613.058,611.483,616.857
bool-before,bool_partial_c2_plain,1,36,458.985,457.357,460.510
bool-before,bool_partial_c2_plain,64,36,499.390,496.648,502.746
bool-before,bool_partial_c2_plain,1024,36,1083.038,1078.715,1155.588
bool-before,bool_partial_c2_plain,16384,36,10975.422,10949.951,11093.669
bool-before,bool_retry_c0_multi,0,36,455.521,454.384,456.942
bool-before,bool_retry_c0_multi,1,36,264.748,264.343,266.895
bool-before,bool_retry_c0_multi,64,36,747.360,743.797,750.186
bool-before,bool_retry_c0_multi,1024,36,1527.293,1521.505,1533.249
bool-before,bool_retry_c0_multi,16384,36,14695.557,14683.146,14767.660
bool-before,bool_retry_c0_plain,0,36,455.114,453.623,456.498
bool-before,bool_retry_c0_plain,1,36,264.933,264.441,266.415
bool-before,bool_retry_c0_plain,64,36,747.843,742.368,755.560
bool-before,bool_retry_c0_plain,1024,36,1524.831,1521.490,1531.118
bool-before,bool_retry_c0_plain,16384,36,14687.012,14679.077,14761.800
bool-before,bool_retry_c1_multi,0,36,615.235,614.202,617.643
bool-before,bool_retry_c1_multi,1,36,251.991,250.213,253.672
bool-before,bool_retry_c1_multi,64,36,761.292,757.955,769.196
bool-before,bool_retry_c1_multi,1024,36,1911.601,1908.274,1919.617
bool-before,bool_retry_c1_multi,16384,36,20608.398,20536.539,21186.281
bool-before,bool_retry_c1_plain,0,36,616.058,614.279,618.561
bool-before,bool_retry_c1_plain,1,36,252.477,251.536,253.196
bool-before,bool_retry_c1_plain,64,36,766.928,758.720,773.242
bool-before,bool_retry_c1_plain,1024,36,1913.127,1908.030,1924.459
bool-before,bool_retry_c1_plain,16384,36,20916.340,20773.760,21205.806
bool-before,bool_retry_c2_multi,0,36,616.928,616.033,620.300
bool-before,bool_retry_c2_multi,1,36,254.774,254.356,255.301
bool-before,bool_retry_c2_multi,64,36,761.745,758.146,768.486
bool-before,bool_retry_c2_multi,1024,36,2007.548,1943.696,2011.933
bool-before,bool_retry_c2_multi,16384,36,21884.442,21388.508,22003.580
bool-before,bool_retry_c2_plain,0,36,617.681,616.684,620.364
bool-before,bool_retry_c2_plain,1,36,254.161,253.723,255.181
bool-before,bool_retry_c2_plain,64,36,766.551,758.191,769.707
bool-before,bool_retry_c2_plain,1024,36,2009.440,2004.212,2015.777
bool-before,bool_retry_c2_plain,16384,36,21974.609,21875.084,22051.268
bool-after,bool_dense_c0_multi,0,36,246.877,239.673,282.877
bool-after,bool_dense_c0_multi,1,36,251.740,251.386,252.337
bool-after,bool_dense_c0_multi,64,36,263.132,262.450,264.736
bool-after,bool_dense_c0_multi,1024,36,464.750,462.835,467.234
bool-after,bool_dense_c0_multi,16384,36,3763.936,3751.963,3793.275
bool-after,bool_dense_c0_plain,0,36,244.685,239.650,497.887
bool-after,bool_dense_c0_plain,1,36,251.208,250.506,252.276
bool-after,bool_dense_c0_plain,64,36,259.445,258.934,262.713
bool-after,bool_dense_c0_plain,1024,36,453.241,451.667,454.377
bool-after,bool_dense_c0_plain,16384,36,3638.610,3630.432,3677.988
bool-after,bool_dense_c1_multi,0,36,400.342,396.543,411.214
bool-after,bool_dense_c1_multi,1,36,246.269,245.861,246.486
bool-after,bool_dense_c1_multi,64,36,255.233,253.841,256.074
bool-after,bool_dense_c1_multi,1024,36,391.904,390.611,393.764
bool-after,bool_dense_c1_multi,16384,36,2621.093,2612.895,2656.036
bool-after,bool_dense_c1_plain,0,36,393.656,392.479,397.724
bool-after,bool_dense_c1_plain,1,36,245.863,244.679,246.584
bool-after,bool_dense_c1_plain,64,36,253.346,252.755,254.739
bool-after,bool_dense_c1_plain,1024,36,388.005,387.248,389.688
bool-after,bool_dense_c1_plain,16384,36,2619.426,2611.929,2635.731
bool-after,bool_dense_c2_multi,0,36,397.916,395.723,401.829
bool-after,bool_dense_c2_multi,1,36,244.149,243.670,245.391
bool-after,bool_dense_c2_multi,64,36,249.723,249.199,250.926
bool-after,bool_dense_c2_multi,1024,36,393.839,392.918,397.406
bool-after,bool_dense_c2_multi,16384,36,2784.241,2775.879,2814.209
bool-after,bool_dense_c2_plain,0,36,395.951,393.918,407.947
bool-after,bool_dense_c2_plain,1,36,243.795,242.989,244.775
bool-after,bool_dense_c2_plain,64,36,246.969,246.672,248.629
bool-after,bool_dense_c2_plain,1024,36,383.990,383.382,385.047
bool-after,bool_dense_c2_plain,16384,36,2644.409,2640.686,2665.720
bool-after,bool_failure_c0_multi,0,36,241.600,240.417,243.171
bool-after,bool_failure_c0_multi,1,36,189.767,189.400,190.396
bool-after,bool_failure_c0_multi,64,36,194.981,194.208,196.526
bool-after,bool_failure_c0_multi,1024,36,398.692,395.569,401.687
bool-after,bool_failure_c0_multi,16384,36,3677.918,3667.440,3691.234
bool-after,bool_failure_c0_plain,0,36,239.656,238.398,240.524
bool-after,bool_failure_c0_plain,1,36,184.567,183.952,187.246
bool-after,bool_failure_c0_plain,64,36,190.700,190.076,191.457
bool-after,bool_failure_c0_plain,1024,36,388.451,387.113,389.833
bool-after,bool_failure_c0_plain,16384,36,3558.695,3547.709,3581.330
bool-after,bool_failure_c1_multi,0,36,399.218,397.086,402.021
bool-after,bool_failure_c1_multi,1,36,184.565,183.943,185.867
bool-after,bool_failure_c1_multi,64,36,188.678,188.087,189.264
bool-after,bool_failure_c1_multi,1024,36,325.577,323.357,326.294
bool-after,bool_failure_c1_multi,16384,36,2541.585,2538.523,2556.193
bool-after,bool_failure_c1_plain,0,36,396.347,393.098,398.084
bool-after,bool_failure_c1_plain,1,36,180.020,178.674,181.147
bool-after,bool_failure_c1_plain,64,36,183.549,182.848,186.490
bool-after,bool_failure_c1_plain,1024,36,320.582,319.902,323.166
bool-after,bool_failure_c1_plain,16384,36,2533.386,2529.979,2553.721
bool-after,bool_failure_c2_multi,0,36,397.690,394.955,399.532
