case,rows,sample,iterations,ns
utf8_decode_inline,0,0,131072,21.109
utf8_decode_inline,0,1,131072,19.797
utf8_decode_inline,0,2,131072,19.871
utf8_decode_inline,0,3,131072,19.880
utf8_decode_inline,0,4,131072,19.785
utf8_decode_inline,0,5,131072,19.816
utf8_decode_inline,0,6,131072,19.838
utf8_decode_inline,0,7,131072,19.883
utf8_decode_inline,0,8,131072,20.105
utf8_decode_inline,0,9,131072,19.865
utf8_decode_inline,0,10,131072,19.951
utf8_decode_inline,0,11,131072,19.805
utf8_decode_external,0,0,131072,21.363
utf8_decode_external,0,1,131072,19.675
utf8_decode_external,0,2,131072,19.664
utf8_decode_external,0,3,131072,19.643
utf8_decode_external,0,4,131072,19.659
utf8_decode_external,0,5,131072,19.664
utf8_decode_external,0,6,131072,19.742
utf8_decode_external,0,7,131072,19.883
utf8_decode_external,0,8,131072,19.644
utf8_decode_external,0,9,131072,19.701
utf8_decode_external,0,10,131072,19.728
utf8_decode_external,0,11,131072,19.674
utf8_decode_inline,1,0,131072,22.274
utf8_decode_inline,1,1,131072,21.240
utf8_decode_inline,1,2,131072,21.257
utf8_decode_inline,1,3,131072,21.141
utf8_decode_inline,1,4,131072,21.288
utf8_decode_inline,1,5,131072,21.184
utf8_decode_inline,1,6,131072,22.726
utf8_decode_inline,1,7,131072,20.851
utf8_decode_inline,1,8,131072,20.902
utf8_decode_inline,1,9,131072,20.984
utf8_decode_inline,1,10,131072,21.004
utf8_decode_inline,1,11,131072,20.956
utf8_decode_external,1,0,65536,34.292
utf8_decode_external,1,1,65536,34.250
utf8_decode_external,1,2,65536,34.250
utf8_decode_external,1,3,65536,34.232
utf8_decode_external,1,4,65536,34.265
utf8_decode_external,1,5,65536,35.305
utf8_decode_external,1,6,65536,34.863
utf8_decode_external,1,7,65536,34.918
utf8_decode_external,1,8,65536,34.833
utf8_decode_external,1,9,65536,34.400
utf8_decode_external,1,10,65536,34.365
utf8_decode_external,1,11,65536,34.171
utf8_decode_inline,64,0,16384,242.917
utf8_decode_inline,64,1,16384,289.213
utf8_decode_inline,64,2,16384,290.176
utf8_decode_inline,64,3,16384,243.454
utf8_decode_inline,64,4,16384,288.577
utf8_decode_inline,64,5,16384,289.187
utf8_decode_inline,64,6,16384,288.991
utf8_decode_inline,64,7,16384,244.069
utf8_decode_inline,64,8,16384,243.373
utf8_decode_inline,64,9,16384,288.582
utf8_decode_inline,64,10,16384,256.866
utf8_decode_inline,64,11,16384,226.023
utf8_decode_external,64,0,4096,593.414
utf8_decode_external,64,1,4096,591.298
utf8_decode_external,64,2,4096,585.683
utf8_decode_external,64,3,4096,590.078
utf8_decode_external,64,4,4096,596.252
utf8_decode_external,64,5,4096,585.775
utf8_decode_external,64,6,4096,586.080
utf8_decode_external,64,7,4096,585.968
utf8_decode_external,64,8,4096,587.138
utf8_decode_external,64,9,4096,602.529
utf8_decode_external,64,10,4096,603.709
utf8_decode_external,64,11,4096,590.851
utf8_decode_inline,1024,0,1024,3589.641
utf8_decode_inline,1024,1,1024,3993.367
utf8_decode_inline,1024,2,1024,3951.822
utf8_decode_inline,1024,3,1024,3669.963
utf8_decode_inline,1024,4,1024,3604.086
utf8_decode_inline,1024,5,1024,3978.149
utf8_decode_inline,1024,6,1024,3575.725
utf8_decode_inline,1024,7,1024,3579.427
utf8_decode_inline,1024,8,1024,3624.471
utf8_decode_inline,1024,9,1024,3567.830
utf8_decode_inline,1024,10,1024,3567.627
utf8_decode_inline,1024,11,1024,3580.281
utf8_decode_external,1024,0,256,9115.398
utf8_decode_external,1024,1,256,8963.379
utf8_decode_external,1024,2,256,8964.355
utf8_decode_external,1024,3,256,8965.660
utf8_decode_external,1024,4,256,8975.098
utf8_decode_external,1024,5,256,9059.895
utf8_decode_external,1024,6,256,9061.199
utf8_decode_external,1024,7,256,8990.883
utf8_decode_external,1024,8,256,8973.145
utf8_decode_external,1024,9,256,8965.984
utf8_decode_external,1024,10,256,8982.750
utf8_decode_external,1024,11,256,9252.766
utf8_decode_inline,16384,0,64,56992.844
utf8_decode_inline,16384,1,64,57140.625
utf8_decode_inline,16384,2,64,57519.531
utf8_decode_inline,16384,3,64,58121.094
utf8_decode_inline,16384,4,64,64216.156
utf8_decode_inline,16384,5,64,58658.203
utf8_decode_inline,16384,6,64,62609.375
utf8_decode_inline,16384,7,64,59824.875
utf8_decode_inline,16384,8,64,60063.812
utf8_decode_inline,16384,9,64,58108.078
utf8_decode_inline,16384,10,64,60880.859
utf8_decode_inline,16384,11,64,62489.578
utf8_decode_external,16384,0,16,147932.250
utf8_decode_external,16384,1,16,147971.375
utf8_decode_external,16384,2,16,147559.875
utf8_decode_external,16384,3,16,147570.312
utf8_decode_external,16384,4,16,149601.562
utf8_decode_external,16384,5,16,147684.875
utf8_decode_external,16384,6,16,147893.250
utf8_decode_external,16384,7,16,147565.125
utf8_decode_external,16384,8,16,147565.062
utf8_decode_external,16384,9,16,149179.688
utf8_decode_external,16384,10,16,147570.312
utf8_decode_external,16384,11,16,147567.688
