case,rows,sample,iterations,ns
utf8_decode_inline,0,0,32768,85.209
utf8_decode_inline,0,1,32768,85.022
utf8_decode_inline,0,2,32768,86.132
utf8_decode_inline,0,3,32768,85.145
utf8_decode_inline,0,4,32768,85.561
utf8_decode_inline,0,5,32768,85.265
utf8_decode_inline,0,6,32768,85.515
utf8_decode_inline,0,7,32768,85.007
utf8_decode_inline,0,8,32768,85.047
utf8_decode_inline,0,9,32768,85.328
utf8_decode_inline,0,10,32768,85.153
utf8_decode_inline,0,11,32768,85.083
utf8_decode_external,0,0,32768,85.720
utf8_decode_external,0,1,32768,84.944
utf8_decode_external,0,2,32768,84.914
utf8_decode_external,0,3,32768,85.061
utf8_decode_external,0,4,32768,85.477
utf8_decode_external,0,5,32768,85.039
utf8_decode_external,0,6,32768,84.956
utf8_decode_external,0,7,32768,85.403
utf8_decode_external,0,8,32768,85.050
utf8_decode_external,0,9,32768,84.914
utf8_decode_external,0,10,32768,84.859
utf8_decode_external,0,11,32768,85.091
utf8_decode_inline,1,0,32768,86.536
utf8_decode_inline,1,1,32768,86.133
utf8_decode_inline,1,2,32768,86.678
utf8_decode_inline,1,3,32768,86.133
utf8_decode_inline,1,4,32768,86.306
utf8_decode_inline,1,5,32768,86.169
utf8_decode_inline,1,6,32768,86.004
utf8_decode_inline,1,7,32768,85.974
utf8_decode_inline,1,8,32768,86.295
utf8_decode_inline,1,9,32768,86.025
utf8_decode_inline,1,10,32768,86.957
utf8_decode_inline,1,11,32768,86.956
utf8_decode_external,1,0,32768,104.285
utf8_decode_external,1,1,32768,103.587
utf8_decode_external,1,2,32768,103.659
utf8_decode_external,1,3,32768,103.498
utf8_decode_external,1,4,32768,103.668
utf8_decode_external,1,5,32768,103.513
utf8_decode_external,1,6,32768,104.373
utf8_decode_external,1,7,32768,103.504
utf8_decode_external,1,8,32768,103.677
utf8_decode_external,1,9,32768,103.378
utf8_decode_external,1,10,32768,104.065
utf8_decode_external,1,11,32768,103.686
utf8_decode_inline,64,0,8192,307.012
utf8_decode_inline,64,1,8192,348.195
utf8_decode_inline,64,2,8192,307.226
utf8_decode_inline,64,3,8192,306.900
utf8_decode_inline,64,4,8192,312.027
utf8_decode_inline,64,5,8192,306.849
utf8_decode_inline,64,6,8192,308.167
utf8_decode_inline,64,7,8192,306.910
utf8_decode_inline,64,8,8192,308.695
utf8_decode_inline,64,9,8192,307.953
utf8_decode_inline,64,10,8192,307.383
utf8_decode_inline,64,11,8192,307.103
utf8_decode_external,64,0,4096,660.238
utf8_decode_external,64,1,4096,660.929
utf8_decode_external,64,2,4096,661.479
utf8_decode_external,64,3,4096,666.402
utf8_decode_external,64,4,4096,661.835
utf8_decode_external,64,5,4096,659.760
utf8_decode_external,64,6,4096,661.509
utf8_decode_external,64,7,4096,684.316
utf8_decode_external,64,8,4096,638.529
utf8_decode_external,64,9,4096,643.240
utf8_decode_external,64,10,4096,653.463
utf8_decode_external,64,11,4096,654.510
utf8_decode_inline,1024,0,1024,3657.756
utf8_decode_inline,1024,1,1024,3660.889
utf8_decode_inline,1024,2,1024,3710.979
utf8_decode_inline,1024,3,1024,3661.215
utf8_decode_inline,1024,4,1024,3707.356
utf8_decode_inline,1024,5,1024,3641.521
utf8_decode_inline,1024,6,1024,3632.527
utf8_decode_inline,1024,7,1024,3730.021
utf8_decode_inline,1024,8,1024,3651.123
utf8_decode_inline,1024,9,1024,3713.949
utf8_decode_inline,1024,10,1024,3819.987
utf8_decode_inline,1024,11,1024,3656.616
utf8_decode_external,1024,0,256,8902.832
utf8_decode_external,1024,1,256,9030.438
utf8_decode_external,1024,2,256,9029.949
utf8_decode_external,1024,3,256,9093.914
utf8_decode_external,1024,4,256,9314.289
utf8_decode_external,1024,5,256,9030.438
utf8_decode_external,1024,6,256,9086.750
utf8_decode_external,1024,7,256,9223.309
utf8_decode_external,1024,8,256,9098.633
utf8_decode_external,1024,9,256,9030.762
utf8_decode_external,1024,10,256,9091.633
utf8_decode_external,1024,11,256,9326.496
utf8_decode_inline,16384,0,64,52841.797
utf8_decode_inline,16384,1,64,55214.203
utf8_decode_inline,16384,2,64,76764.969
utf8_decode_inline,16384,3,64,64989.578
utf8_decode_inline,16384,4,64,65131.500
utf8_decode_inline,16384,5,64,58386.062
utf8_decode_inline,16384,6,64,54417.969
utf8_decode_inline,16384,7,64,55639.328
utf8_decode_inline,16384,8,64,56143.219
utf8_decode_inline,16384,9,64,58819.000
utf8_decode_inline,16384,10,64,65543.609
utf8_decode_inline,16384,11,64,57156.250
utf8_decode_external,16384,0,16,142604.188
utf8_decode_external,16384,1,16,143843.750
utf8_decode_external,16384,2,16,142617.188
utf8_decode_external,16384,3,16,142867.188
utf8_decode_external,16384,4,16,142869.750
utf8_decode_external,16384,5,16,142901.000
utf8_decode_external,16384,6,16,142872.438
utf8_decode_external,16384,7,16,142869.812
utf8_decode_external,16384,8,16,143804.688
utf8_decode_external,16384,9,16,142838.562
utf8_decode_external,16384,10,16,142885.438
utf8_decode_external,16384,11,16,144867.188
