TraficSourceID	SearchEngineID	AdvEngineID	src	dst	pageviews
-1	0	0	http://state=19945206/foto-4/login-2006/makumiroshoowbiz/down%2Fholodilnik.ru/76/~54	http://irr.ru/index.php?showalbum/login-leniya7777294,938303130	15
-1	0	0	http://state=19945206/foto-4/login-2006/makumiroshoowbiz/down%2Fholodilnik.ru/769000&price=меньше 170005585-page	http://irr.ru/index.php?showalbum/litlip/saint-peter557932E-8C62-4917%26ad%3D648076.html?1=1&currency=1&gearbox=0&top=0&check_PP	15
-1	0	0	http://state=19945206/foto-4/login-2006/makumirostova.ru/a-album/login.2/secondary/search	http://irr.ru/index.php?showalbum/login-leniya7777294,938303130	15
-1	0	0	http://state=19945206/foto-4/login-2491724/?bundlers/search?text	http://irr.ru/index.php?showalbum/login-kapusta-advert262997385f32313335781094&op_seo_entry=-1&OnlyAvailFlight	15
-1	0	0	http://state=19945206/foto-4/login/index.ru/ange=0&s_yers=(3000&static.diary.ru/jobinmoscow.ru/yandex.ua/car-year	http://irr.ru/index.php?showalbum/login-kapusta-advert2668]=0&order_by=0&price	15
1	0	0	http://mysw.info/node/215455&text	http://irr.ru/index.php?showalbum/logabass.ru/cation&op_category_id=0&page9/#1440_S_Mitsubishi/196372	15
1	0	0	http://wildberrifiers?year_detailshop/id_art_type=7&s_yers	http://irr.ru/index.php?showalbum/login	15
5	0	0	http://state=19&m_staraya-obl	http://sslow_135000008&position=search	15
5	0	0	http://state=19945206/foto-4/login-2006/makumirostova.ru/search?text=фанатор	http://auto_s_product_id=25292.1406.798352/women.aspx?group_cod	15
5	0	0	http://state=19945206/foto-4/login-land_search?text=амбрелковом нова екатеринбурге&lr=213&text=тестолеты фольцо	http://irr.ru/6323%26bn%3D27888895,963095425	15
