k	l	c	min(Referer)
bonprix.ru	99.779640498215	1125057	http://bonprix.ru/
cn.ru	84.851556860292	124674	http://cn.ru/GameMain.aspx#catalog/100523&tails.xml?market_pc.html?pid=9403&lr=47&msgid=36305f39386
domics	198.508727919529	326080	http://domics/825179.11931861234499792
e96.ru	196.107504627094	1018998	http://e96.ru/%3Ffrom]=&input_act[count_num=0&dff=arian-carrina1201517&cad=rjt&fu=0&input_state/apartments-sale/list.htm?size=30&input_with_photo-takovo-zuevo-shpilki.ru/real.nn.ru/yandex.ua/searchAuto=on&input_who1=2&input_online.ru/clck/51cbd&ll=&top=http://loveplane=42621/page9
gadgets.irr.ru	126.33208836777	349675	https://gadgets.irr.ru/2jmj7l5rSw0yVb
geomethiettai.ru	91.854028264283	115906	https://geomethiettai.ru/GameMain.aspx?group=houses/list=266559j7077&num=7&prune_day=lastdiscussd59394303&price_ot=&priceup&page3/sankt-petushhiblock
go.mail	104.578502467276	8227493	http://go.mail/04/detskaia-moda-zhiensmed
google.ru	104.022197553126	2158346	http://google.ru/
gorod	78.131403077812	110728	http://gorod/%3Fauto.ria.ua%2Fjob
kino	86.907379198402	120135	http://kino/6/21/2/women.asp?whichpage4/#oversion=unreadm&uid
kurortmag.ru	73.153739139396	155263	http://kurortmag.ru/
loveplanet.ru	99.864269388074	461134	http://loveplanet.ru/%3Faw_opel/page=2013
m.myloveplanet.ru	86.15602069366	151544	http://m.myloveplanet.ru/
msouz.ru	103.07106523288	301765	http://msouz.ru/?ffshop
msuzie-showforumdisplay	245.210454377137	183636	http://msuzie-showforumdisplay/63/~2/?name=&cost_neu%3D400%26retpath=default777TWCWkI9lalUwTXpJMU1q
myloveplanet.ru	77.491237271889	110582	http://myloveplanet.ru/#associety/auto
mysw.info	86.225673559184	984546	http://mysw.info/
novjob.ru	87.790919135056	133049	http://novjob.ru/
povarenok.ru	80.402635158931	144811	http://povarenok.ru/
saint-peters-total=меньше 80	223.21598396018	200501	http://saint-peters-total=меньше 80/cash/station=search&input_age1=&int[2274/trashbox.ru/details&cad=rjt&fu=0&input_who1=2&input_who1=2&input_city-4400047.html?1=1&price_ot=&price_ot=&price=мень&clid=143431512&s_yers=0&model&desc=&name=1&markett.ru%2Frenazheltyj-95692465&text=поздравстраницу&clid=4405404/menu_29.html&ei=UIX1UZTFNJTI0ci8guSn3tW.pl?cmd=showthreadreplies=978-4121-469171&history47/11/?from=&district
state	73.331044637403	191521	http://state/1721038250%26ie%3D31634&lr=2055b71ce92d72e9800039
state=19945206	102.141490489043	512409	http://state=19945206/foto-4/login%20NoTs3M&where=all&filmId=u8aGGqtWs3M&where=all&server=sc.cheloveplanet.ru/forum.little&categoriya/muzhskaya_istory.com/demii-malchik_148_4055074241537][to]=&input_activalry: A Love&where=all&text=купить florer&aktion/loansert перевозобности&site_id=197&text=добавь   лазерногорский  тайская полупая автомобильника&v=1414-resp_desyachnyeprague
svpressa.ru	283.728385540181	242465	http://svpressa.ru/
tambov.irr.ru	75.079763920867	315318	http://tambov.irr.ru/0/c1/tgFtaeLDK0yb01A7xvQF08sjCFqQxn51
yaroslavens.ru	88.581540190216	124595	http://yaroslavens.ru/main.aspx#catalog%2F1004-1100000147-otvet/actions/dislocal
