traficsourceid	searchengineid	advengineid	src	dst	pageviews
-1	0	0	http://kinopoisk.ru/rative	http://irr.ru/index.ru/show/414526863_112	15
-1	0	0	http://state=19945206/foto-4/login-2006/makumirostova.ru/yandex.php?page37/?state/apartments	http://irr.ru/index.php?showalbum/login-leniya7777294,938303130	15
-1	0	0	http://state=19945206/foto-4/login-2006/makumirostova.ru/yandex.ru/gamemain.aspx?size=13&msid	http://irr.ru/index.php?showalbum/login-leniya7777294,938303130	15
-1	0	0	http://state=19945206/foto-4/login-2491724/?bundlers/search?text	http://irr.ru/index.php?showalbum/login-kapusta-advert2651734&pt=b&pd=7&pw=1&pr=7100 (GMT-1-6-MT	15
-1	0	0	http://state=19945206/foto-4/login-2491724/?bundlers/search?text	http://irr.ru/index.php?showalbum/login-kapusta-advert2652101_2874&lb_id=387549447141&op_product	15
-1	0	0	http://state=19945206/foto-4/login-2491724/?bundlers/search?text	http://irr.ru/index.php?showalbum/login-kapusta-advert2724/?_h=search?text=каник текстиле	15
-1	0	0	http://state=19945206/foto-4/login-2491724/?bundlers/search?text	http://irr.ru/index.php?showalbum/login-kapusta-advertisements/produkty%2Fplatjie-jekrju-94566-77715	15
-1	0	0	http://state=19945206/foto-4/login-2491724/?bundlers/search?text	http://irr.ru/index.php?showalbum/login-kapusta-advertist/gosthelp.ru/auto.ria.ua/b_u_akpp_y_kpp	15
-1	0	0	http://state=19945206/foto-4/login_appliazh-pliance/mista-bez-uchaiev/000202&clid=1537][from]=&input_act[is_filters	http://irr.ru/index.php?showalbum/login-kapusta-advert2668]=0&order_by=0&price	15
-1	0	0	http://state=19945206/foto-4/loginskikh-viana.irr.ru/GameMain.aspx?sle=1/house.ru/yandsearch?text=все серии&sa=t&rct=j&q=аэратор&item.aspx?sort_key=9582&text=meiz/Stoimost-iAQ4MyP5gLAD&url=wwww.migom.by/?crnd=59039395&op_category_id=&maxprice=2&state=200&custom=0&doorov_i_magicbay.ru/moscow/90/incidential/BuyCongrad.irr.ru/men.aspx?group_cod_1s=1680&bpp=6&currency=RUR/keywords=блокарнизе 2000024879166191/offe.aspx	http://irr.ru/index.php?showalbum/login-kapusta-advertist/?act=full&Form.aspx?group_cod	15
