s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9994.37|"Supplier#000030084"|GERMANY|380077|"Manufacturer#5"|gBEvSkyW o1uHea0CV,oHtkTTVW|17-519-171-6883|pinto beans sleep fluffily alongside of the slyly special deposits. slyly pendi
9992.54|"Supplier#000099650"|RUSSIA|824625|"Manufacturer#3"|ySI FMlh9gHkEDN6gQWf3|32-971-481-2533|ged deposits cajole carefully packages. carefully final ideas affix furiously. regu
9987.51|"Supplier#000020657"|ROMANIA|395653|"Manufacturer#5"|4pL,8BT3Yun,17QHqAr9 A,ZFyyuH4L|29-167-460-7830|otes. excuses behind the blithely regular packages are furio
9986.40|"Supplier#000082995"|RUSSIA|1782994|"Manufacturer#5"|CXiBNZ6DUBjgY|32-510-919-3096|nding instructions boost. unusual, regular asymptotes above the fluffily express e
9984.69|"Supplier#000008875"|ROMANIA|633856|"Manufacturer#4"|hRdOqKqyU,sHq|29-132-904-4395|ong the bold pinto beans are furiously blithely slow
9984.30|"Supplier#000081977"|RUSSIA|1356963|"Manufacturer#5"|gemeY46TI2J6ZAt9gjouxB|32-569-570-6149|ng to the furiously special package
9983.76|"Supplier#000024757"|RUSSIA|599751|"Manufacturer#4"|vJb,kFRqwsv34H5Y6GsRAEJXz0VCZ|32-868-781-9721|nal foxes. theodolites cajole regular, final grouches. unusual, final theodolites lose
9980.25|"Supplier#000067392"|RUSSIA|192388|"Manufacturer#2"|oEQvrLi316,0I7Z|32-872-236-1034|nal pinto beans cajole quickly. final excuses about the deposits 
9974.93|"Supplier#000072260"|ROMANIA|397250|"Manufacturer#3"|ijrpECIzgkK,qi83qjKtf0qhMX4O3i17i|29-745-482-4154|its above the special deposits engage slyly among the unusual, even asymptotes. carefull
9971.99|"Supplier#000016715"|FRANCE|691708|"Manufacturer#2"|BjEu56DmMNx VHZ|16-401-454-3384| even requests; fluffily ironic 
9968.96|"Supplier#000085431"|ROMANIA|1885430|"Manufacturer#4"|1hhUdxO7AVH|29-402-887-2528| boost furiously blithely quiet requests. ironic, ironic instructions haggle slowly. ironic, un
9967.60|"Supplier#000028837"|ROMANIA|228836|"Manufacturer#2"|gAaNbDxVTyFjjhgGodAKyy9uk|29-105-576-2294|hins must have to haggle blithely along
9967.60|"Supplier#000028837"|ROMANIA|1828836|"Manufacturer#4"|gAaNbDxVTyFjjhgGodAKyy9uk|29-105-576-2294|hins must have to haggle blithely along
9966.67|"Supplier#000030306"|UNITED KINGDOM|1280281|"Manufacturer#3"|y2Pslsn3B1KRWYKtcwMMcOzYZUel4ox5Rzp|33-758-232-4917|lyly special packages around the
9962.57|"Supplier#000034645"|ROMANIA|759623|"Manufacturer#4"|eX2phCtgj8wVd8U7oWYs6bQOayC|29-629-100-1429|uests sleep carefully besides the patterns. carefully regular forges
9957.83|"Supplier#000012588"|ROMANIA|12587|"Manufacturer#1"|8cRzJOxCG7z qpfkXKgrQs6ubfOTK|29-373-772-7126|uriously ironic platelets nag. slyly bold instructions haggle furiously fluffil
9956.67|"Supplier#000074260"|FRANCE|124257|"Manufacturer#2"|W83 2W,pP8sFtnVxjOJC1a7zO5|16-511-538-8136|yly ironic ideas try to are! final platelets above the final
9945.36|"Supplier#000036819"|ROMANIA|761797|"Manufacturer#4"|NJfzlpQ4TqMDtYWAjXM9kFSjqTs7ZnIwHmUvT|29-370-897-9499|al accounts. carefully ruthless requests haggle blithely express depos
9944.02|"Supplier#000010019"|ROMANIA|1810018|"Manufacturer#4"|6fy8i iDm,kCwJfaiNRZtVWeAtrLnQT|29-695-919-1392|y regular excuses are blithely special theodolites. final excuses sleep
9942.90|"Supplier#000019177"|GERMANY|494172|"Manufacturer#5"|TUINeTTQPDi7DOcYue|17-316-670-1231|s wake furiously according to the depths. slyly express 
9940.76|"Supplier#000031587"|GERMANY|556571|"Manufacturer#5"|qOjHNzlw4i7XT7tr7JU2P2rY3d|17-221-164-2555|ect fluffily. fluffily even instructions sleep quickly careful
9939.40|"Supplier#000028113"|RUSSIA|428112|"Manufacturer#2"|HrnOoqKBep02Dvafwz9SHIzaJWlL|32-938-722-6528|ideas. ruthlessly ironic accounts should are slyly special, regular pla
9939.40|"Supplier#000028113"|RUSSIA|1253076|"Manufacturer#5"|HrnOoqKBep02Dvafwz9SHIzaJWlL|32-938-722-6528|ideas. ruthlessly ironic accounts should are slyly special, regular pla
9938.69|"Supplier#000048337"|RUSSIA|1448336|"Manufacturer#5"|tXGAix6fSBfdQuOu4BBAQDsnVsCzxzFK8g1|32-566-156-5537|ular pinto beans. slyly express theodolites sleep blithely
9938.58|"Supplier#000094826"|FRANCE|1494825|"Manufacturer#4"|2QpjZspOzpdUre9zk9,IoeNDxm2|16-253-529-1094|ideas. ruthlessly sly package
9937.53|"Supplier#000042994"|GERMANY|1442993|"Manufacturer#3"|Q,AdU5BqQwPC2rGbrydanSbbEU6PoTPf|17-429-634-1843|aggle carefully along the quickly even
9936.01|"Supplier#000064630"|FRANCE|1289593|"Manufacturer#5"|cW3kNfLGiN2n7w84pIHEpTd4sewgpnW|16-782-698-5265|. furiously express ideas boost across the regular requests. furiously final ideas haggle fl
9936.00|"Supplier#000042253"|ROMANIA|142252|"Manufacturer#4"|r9uqFbAWydd4tcgzcS RI Y|29-148-772-1827|lar packages haggle. blithely ir
9934.88|"Supplier#000096830"|FRANCE|621811|"Manufacturer#3"|Kr0JO9SLORE9w jyf0SmllIw6z4TwSWMM qbLG|16-418-502-3708|theodolites sublate. quickly unusual theodolites according to the regular, ironic
9934.44|"Supplier#000009762"|GERMANY|1234725|"Manufacturer#4"|sszbnlE,8rTVV1n5PUnUaX|17-758-315-1893|uriously unusual foxes. bold, ironic foxes according to the blithely final 
9932.47|"Supplier#000068671"|UNITED KINGDOM|568670|"Manufacturer#1"|KxbfreN6sK oIUYlebYYCDveczKvlNjPZ2GBZmZ|33-345-114-7234| final foxes sleep carefully. final, ironic pinto beans after the special deposits h
9923.62|"Supplier#000037153"|UNITED KINGDOM|562137|"Manufacturer#1"|sU34QleurYe 2uU9bQO,O Zg4yiKw6NDEy,fu|33-691-756-3666|special ideas need to detect quickly final dependencies. furiously regular packages above the sl
9920.24|"Supplier#000051485"|GERMANY|1376445|"Manufacturer#2"|ZrSnSNxfvsD8KBgRrZzHKm,wrv2DtPf3 |17-317-540-3763|-- slyly even escapades sleep carefully a
